Dystans (m),Wysokosc (m)
0,1521.939208984375
59.9513836452385,1487.004516601562
119.902767290477,1459.8291015625
179.8541509357155,1453.83544921875
239.805534580954,1389.936157226562
299.7569182261925,1366.261962890625
359.708301871431,1363.659423828125
419.6596855166695,1341.260375976562
479.611069161908,1342.671997070312
539.5624528071465,1326.816772460938
599.513836452385,1305.6533203125
659.4652200976235,1282.1513671875
719.416603742862,1268.349853515625
779.3679873881005,1264.15576171875
839.319371033339,1244.103149414062
899.2707546785775,1277.732299804688
959.222138323816,1312.908081054688
1019.1735219690545,1346.758666992188
1079.124905614293,1382.732177734375
1139.0762892595314,1475.603759765625
1199.02767290477,1532.338500976562
1258.9790565500084,1546.917358398438
1318.930440195247,1529.871704101562
1378.8818238404856,1467.219116210938
1438.833207485724,1399.455078125
1498.7845911309626,1335.516967773438
1558.735974776201,1299.453979492188
1618.6873584214395,1256.228881835938
1678.638742066678,1221.767944335938
1738.5901257119165,1202.853637695312
1798.541509357155,1212.141235351562
1858.4928930023934,1221.681274414062
1918.444276647632,1240.494995117188
1978.3956602928706,1276.893798828125
2038.347043938109,1319.693115234375
2098.2984275833473,1344.999633789062
2158.249811228586,1419.506103515625
2218.2011948738245,1512.0380859375
2278.152578519063,1568.5048828125
2338.1039621643017,1620.061401367188
2398.05534580954,1636.904418945312
2458.0067294547785,1600.852416992188
2517.958113100017,1563.001098632812
2577.9094967452556,1524.123046875
2637.860880390494,1470.681518554688
2697.8122640357324,1403.621459960938
2757.763647680971,1379.44873046875
2817.7150313262096,1370.131225585938
2877.666414971448,1366.156494140625
2937.6177986166867,1358.970703125
2997.569182261925,1395.747680664062
3057.5205659071635,1438.675659179688
3117.471949552402,1472.719604492188
3177.4233331976407,1492.171875
3237.374716842879,1512.851318359375
3297.3261004881174,1545.5400390625
3357.277484133356,1599.7744140625
3417.2288677785946,1634.663818359375
3477.180251423833,1674.452270507812
3537.1316350690718,1712.608520507812
3597.08301871431,1717.713623046875
3657.0344023595485,1715.796264648438
3716.985786004787,1702.75830078125
3776.9371696500257,1661.737915039062
3836.888553295264,1622.727294921875
3896.8399369405024,1592.24072265625
3956.7913205857412,1542.866577148438
4016.7427042309796,1515.16162109375
4076.694087876218,1494.201782226562
4136.645471521457,1475.888793945312
4196.596855166695,1472.399658203125
4256.5482388119335,1334.543823242188
4316.499622457172,1302.778930664062
4376.45100610241,1270.187744140625
4436.402389747649,1232.106079101562
4496.353773392888,1246.739135742188
4556.305157038126,1261.203979492188
4616.256540683365,1275.93994140625
4676.207924328603,1285.203247070312
4736.159307973841,1413.129760742188
4796.11069161908,1479.456420898438
4856.062075264319,1508.7001953125
4916.013458909557,1545.424194335938
4975.964842554796,1599.005737304688
5035.916226200034,1647.853149414062
5095.867609845272,1695.670166015625
5155.818993490511,1723.375122070312
5215.770377135749,1721.136596679688
5275.721760780988,1686.8798828125
5335.673144426227,1638.812866210938
5395.624528071465,1565.034301757812
5455.575911716704,1514.1943359375
5515.527295361942,1451.89404296875
5575.47867900718,1341.05224609375
5635.430062652419,1304.133178710938
5695.381446297658,1265.197265625
5755.332829942896,1254.260864257812
5815.284213588135,1259.90380859375
5875.2355972333735,1248.034423828125
