Dystans (m),Wysokosc (m),Wezel
0,20.8544,1
16.4691,23.5285,0
32.9382,25.9148,0
49.4073,28.0294,0
65.8764,29.8878,0
82.3455,31.505,0
98.8146,32.8952,0
115.284,34.0721,0
131.753,35.049,0
148.222,35.8386,0
164.691,36.453,0
181.16,36.9038,0
197.629,37.2023,0
214.098,37.3592,0
230.568,37.3846,0
247.037,37.2884,0
263.506,37.08,0
279.975,36.7682,0
296.444,36.3618,0
312.913,35.8687,0
329.382,35.2969,0
345.851,34.6536,0
362.32,33.9459,0
378.789,33.1806,0
395.259,32.364,0
411.728,31.5022,0
428.197,30.6008,0
444.666,29.6653,0
461.135,28.7009,0
477.604,27.7124,0
494.073,26.7043,0
510.542,25.6811,0
527.011,24.6467,0
543.481,23.605,0
559.95,22.5595,0
576.419,21.5137,0
592.888,20.4706,0
609.357,19.4332,0
625.826,18.4042,0
642.295,17.3861,0
658.764,16.3813,0
675.233,15.3919,0
691.703,14.4199,0
708.172,13.4672,0
724.641,12.5353,0
741.11,11.6259,0
757.579,10.7402,0
774.048,9.87945,0
790.517,9.04483,0
806.986,8.23724,0
823.455,7.45753,0
839.925,6.70643,0
856.394,5.98456,0
872.863,5.29242,0
889.332,4.63042,0
905.801,3.99887,0
922.27,3.39801,1
938.739,2.82797,0
955.208,2.28882,0
971.677,1.78052,0
988.146,1.30301,0
1004.62,0.856111,0
1021.08,0.439613,0
1037.55,0.053234,0
1054.02,-0.303361,0
1070.49,-0.630561,0
1086.96,-0.9288,0
1103.43,-1.19856,0
1119.9,-1.44037,0
1136.37,-1.65479,0
1152.84,-1.84241,0
1169.31,-2.00387,0
1185.78,-2.13982,0
1202.24,-2.25096,0
1218.71,-2.33799,0
1235.18,-2.40165,0
1251.65,-2.4427,0
1268.12,-2.46189,0
1284.59,-2.46001,0
1301.06,-2.43787,0
1317.53,-2.39626,0
1334,-2.336,0
1350.47,-2.25791,0
1366.94,-2.16282,0
1383.41,-2.05156,0
1399.87,-1.92496,0
1416.34,-1.78384,0
1432.81,-1.62903,0
1449.28,-1.46137,0
1465.75,-1.28165,0
1482.22,-1.09071,0
1498.69,-0.889346,0
1515.16,-0.678352,0
1531.63,-0.458518,0
1548.1,-0.230621,0
1564.57,0.0045733,0
1581.03,0.246312,0
1597.5,0.493856,0
1613.97,0.746479,0
1630.44,1.00347,0
1646.91,1.26414,0
1663.38,1.5278,0
1679.85,1.7938,0
1696.32,2.06148,0
1712.79,2.33023,0
1729.26,2.59943,0
1745.73,2.8685,0
1762.19,3.13686,0
1778.66,3.40396,0
1795.13,3.66927,0
1811.6,3.93229,0
1828.07,4.1925,0
1844.54,4.44946,1
1861.01,4.70269,0
1877.48,4.95178,0
1893.95,5.19631,0
1910.42,5.43589,0
1926.89,5.67016,0
1943.35,5.89875,0
1959.82,6.12135,0
1976.29,6.33764,0
1992.76,6.54734,0
2009.23,6.75017,0
2025.7,6.9459,0
2042.17,7.13428,0
2058.64,7.31511,0
2075.11,7.48819,0
2091.58,7.65337,0
2108.05,7.81047,0
2124.51,7.95938,0
2140.98,8.09996,0
2157.45,8.23213,0
2173.92,8.3558,0
2190.39,8.4709,0
2206.86,8.57739,0
2223.33,8.67524,0
2239.8,8.76442,0
2256.27,8.84495,0
2272.74,8.91682,0
2289.21,8.98009,0
2305.68,9.03477,0
2322.14,9.08095,0
2338.61,9.11867,0
2355.08,9.14804,0
2371.55,9.16914,0
2388.02,9.18208,0
2404.49,9.18699,0
2420.96,9.18398,0
2437.43,9.17322,0
2453.9,9.15483,0
2470.37,9.129,0
2486.84,9.09588,0
2503.3,9.05566,0
2519.77,9.00852,0
2536.24,8.95466,0
2552.71,8.89428,0
2569.18,8.82758,0
2585.65,8.7548,0
2602.12,8.67614,0
2618.59,8.59183,0
2635.06,8.50211,0
2651.53,8.40721,0
2668,8.30737,0
2684.46,8.20284,0
2700.93,8.09386,0
2717.4,7.98068,0
2733.87,7.86355,0
2750.34,7.74273,0
2766.81,7.61848,1
2783.28,7.49105,0
2799.75,7.36069,0
2816.22,7.22767,0
2832.69,7.09224,0
2849.16,6.95466,0
2865.62,6.81518,0
2882.09,6.67406,0
2898.56,6.53155,0
2915.03,6.3879,0
2931.5,6.24336,0
2947.97,6.09818,0
2964.44,5.9526,0
2980.91,5.80686,0
2997.38,5.66119,0
3013.85,5.51583,0
3030.32,5.371,0
3046.79,5.22693,0
3063.25,5.08384,0
3079.72,4.94194,0
3096.19,4.80144,0
3112.66,4.66254,0
3129.13,4.52544,0
3145.6,4.39034,0
3162.07,4.25741,0
3178.54,4.12684,0
3195.01,3.9988,0
3211.48,3.87346,0
3227.95,3.75098,0
3244.41,3.6315,0
3260.88,3.51518,0
3277.35,3.40216,0
3293.82,3.29256,0
3310.29,3.18652,0
3326.76,3.08414,0
3343.23,2.98553,0
3359.7,2.89081,0
3376.17,2.80006,0
3392.64,2.71336,0
3409.11,2.6308,0
3425.57,2.55245,0
3442.04,2.47837,0
3458.51,2.40862,0
3474.98,2.34324,0
3491.45,2.28227,0
3507.92,2.22575,0
3524.39,2.17369,0
3540.86,2.12613,0
3557.33,2.08305,0
3573.8,2.04447,0
3590.27,2.01038,0
3606.73,1.98076,0
3623.2,1.9556,0
3639.67,1.93487,0
3656.14,1.91852,0
3672.61,1.90652,0
3689.08,1.89882,1
3705.55,1.89536,0
3722.02,1.89609,0
3738.49,1.90092,0
3754.96,1.90978,0
3771.43,1.9226,0
3787.89,1.93927,0
3804.36,1.95972,0
3820.83,1.98384,0
3837.3,2.01152,0
3853.77,2.04266,0
3870.24,2.07713,0
3886.71,2.11483,0
3903.18,2.15561,0
3919.65,2.19936,0
3936.12,2.24593,0
3952.59,2.29519,0
3969.06,2.347,0
3985.52,2.40121,0
4001.99,2.45767,0
4018.46,2.51623,0
4034.93,2.57673,0
4051.4,2.63902,0
4067.87,2.70293,0
4084.34,2.7683,0
4100.81,2.83497,0
4117.28,2.90277,0
4133.75,2.97153,0
4150.22,3.04108,0
4166.68,3.11125,0
4183.15,3.18187,0
4199.62,3.25277,0
4216.09,3.32378,0
4232.56,3.39472,0
4249.03,3.46542,0
4265.5,3.53572,0
4281.97,3.60543,0
4298.44,3.6744,0
4314.91,3.74246,0
4331.38,3.80943,0
4347.84,3.87516,0
4364.31,3.93947,0
4380.78,4.00222,0
4397.25,4.06325,0
4413.72,4.12239,0
4430.19,4.1795,0
4446.66,4.23442,0
4463.13,4.28702,0
4479.6,4.33716,0
4496.07,4.38468,0
4512.54,4.42947,0
4529,4.47139,0
4545.47,4.51031,0
4561.94,4.54612,0
4578.41,4.57871,0
4594.88,4.60795,0
4611.35,4.63376,1
4627.82,4.65602,0
4644.29,4.67465,0
4660.76,4.68956,0
4677.23,4.70066,0
4693.7,4.70789,0
4710.16,4.71117,0
4726.63,4.71044,0
4743.1,4.70564,0
4759.57,4.69672,0
4776.04,4.68365,0
4792.51,4.66639,0
4808.98,4.6449,0
4825.45,4.61916,0
4841.92,4.58917,0
4858.39,4.55491,0
4874.86,4.51639,0
4891.33,4.47361,0
4907.79,4.42658,0
4924.26,4.37534,0
4940.73,4.3199,0
4957.2,4.26031,0
4973.67,4.19661,0
4990.14,4.12885,0
5006.61,4.05709,0
5023.08,3.98141,0
5039.55,3.90187,0
5056.02,3.81856,0
5072.49,3.73156,0
5088.95,3.64098,0
5105.42,3.54691,0
5121.89,3.44947,0
5138.36,3.34878,0
5154.83,3.24496,0
5171.3,3.13814,0
5187.77,3.02846,0
5204.24,2.91607,0
5220.71,2.80112,0
5237.18,2.68376,0
5253.65,2.56416,0
5270.11,2.44249,0
5286.58,2.31893,0
5303.05,2.19365,0
5319.52,2.06683,0
5335.99,1.93869,0
5352.46,1.8094,0
5368.93,1.67916,0
5385.4,1.5482,0
5401.87,1.4167,0
5418.34,1.28489,0
5434.81,1.15299,0
5451.27,1.0212,0
5467.74,0.889765,0
5484.21,0.758897,0
5500.68,0.628826,0
5517.15,0.499783,0
5533.62,0.372,1
5550.09,0.245708,0
5566.56,0.121142,0
5583.03,-0.00146435,0
5599.5,-0.121876,0
5615.97,-0.239859,0
5632.44,-0.355179,0
5648.9,-0.467604,0
5665.37,-0.576901,0
5681.84,-0.68284,0
5698.31,-0.785194,0
5714.78,-0.883737,0
5731.25,-0.978246,0
5747.72,-1.0685,0
5764.19,-1.15429,0
5780.66,-1.2354,0
5797.13,-1.31163,0
5813.6,-1.38277,0
5830.06,-1.44862,0
5846.53,-1.50901,0
5863,-1.56374,0
5879.47,-1.61264,0
5895.94,-1.65553,0
5912.41,-1.69227,0
5928.88,-1.72269,0
5945.35,-1.74665,0
5961.82,-1.76402,0
5978.29,-1.77467,0
5994.76,-1.77849,0
6011.22,-1.77536,0
6027.69,-1.76521,0
6044.16,-1.74793,0
6060.63,-1.72348,0
6077.1,-1.69177,0
6093.57,-1.65278,0
6110.04,-1.60646,0
6126.51,-1.55281,0
6142.98,-1.4918,0
6159.45,-1.42346,0
6175.92,-1.34781,0
6192.38,-1.26488,0
6208.85,-1.17473,0
6225.32,-1.07743,0
6241.79,-0.97307,0
6258.26,-0.861747,0
6274.73,-0.743584,0
6291.2,-0.618716,0
6307.67,-0.487298,0
6324.14,-0.349501,0
6340.61,-0.205514,0
6357.08,-0.0555448,0
6373.54,0.100181,0
6390.01,0.261419,0
6406.48,0.427906,0
6422.95,0.599362,0
6439.42,0.775486,0
6455.89,0.955958,1
6472.36,1.14044,0
6488.83,1.32858,0
6505.3,1.51999,0
6521.77,1.71428,0
6538.24,1.91104,0
6554.71,2.10984,0
6571.17,2.31021,0
6587.64,2.5117,0
6604.11,2.71381,0
6620.58,2.91604,0
6637.05,3.11786,0
6653.52,3.31872,0
6669.99,3.51807,0
6686.46,3.71534,0
6702.93,3.90992,0
6719.4,4.10121,0
6735.87,4.28859,0
6752.33,4.47141,0
6768.8,4.64902,0
6785.27,4.82076,0
6801.74,4.98594,0
6818.21,5.14388,0
6834.68,5.29387,0
6851.15,5.43519,0
6867.62,5.56713,0
6884.09,5.68895,0
6900.56,5.79992,0
6917.03,5.89929,0
6933.49,5.98632,0
6949.96,6.06024,0
6966.43,6.12031,0
6982.9,6.16577,0
6999.37,6.19587,0
7015.84,6.20985,0
7032.31,6.20697,0
7048.78,6.18648,0
7065.25,6.14764,0
7081.72,6.08974,0
7098.19,6.01205,0
7114.65,5.91388,0
7131.12,5.79453,0
7147.59,5.65335,0
7164.06,5.48968,0
7180.53,5.3029,0
7197,5.09241,0
7213.47,4.85764,0
7229.94,4.59804,0
7246.41,4.31311,0
7262.88,4.00237,0
7279.35,3.66538,0
7295.81,3.30177,0
7312.28,2.91119,0
7328.75,2.49333,0
7345.22,2.04796,0
7361.69,1.57488,0
7378.16,1.07398,1
7394.63,0.545187,0
7411.1,-0.0114959,0
7427.57,-0.59599,0
7444.04,-1.20814,0
7460.51,-1.84772,0
7476.98,-2.5144,0
7493.44,-3.20779,0
7509.91,-3.92736,0
7526.38,-4.67253,0
7542.85,-5.44259,0
7559.32,-6.23671,0
7575.79,-7.05397,0
7592.26,-7.89331,0
7608.73,-8.75355,0
7625.2,-9.63338,0
7641.67,-10.5313,0
7658.14,-11.4458,0
7674.6,-12.3751,0
7691.07,-13.3173,0
7707.54,-14.2703,0
7724.01,-15.2319,0
7740.48,-16.1996,0
7756.95,-17.1709,0
7773.42,-18.1429,0
7789.89,-19.1126,0
7806.36,-20.0769,0
7822.83,-21.0322,0
7839.3,-21.9751,0
7855.76,-22.9014,0
7872.23,-23.8073,0
7888.7,-24.6881,0
7905.17,-25.5394,0
7921.64,-26.3561,0
7938.11,-27.1332,0
7954.58,-27.8651,0
7971.05,-28.546,0
7987.52,-29.1698,0
8003.99,-29.7302,0
8020.46,-30.2204,0
8036.92,-30.6332,0
8053.39,-30.9614,0
8069.86,-31.197,0
8086.33,-31.3318,0
8102.8,-31.3574,0
8119.27,-31.2648,0
8135.74,-31.0444,0
8152.21,-30.6867,0
8168.68,-30.1812,0
8185.15,-29.5173,0
8201.62,-28.6839,0
8218.09,-27.6692,0
8234.55,-26.4612,0
8251.02,-25.0472,0
8267.49,-23.414,0
8283.96,-21.5478,0
8300.43,-19.4345,0
8316.9,-17.0592,0
8333.37,-14.4065,0
8349.84,-11.4602,0
8366.31,-8.20386,0
8382.78,-4.6201,0
8399.25,-0.690977,0
8415.71,3.6021,1
