Dystans (m),Wysokosc (m),Wezel
0,20.8544,1
16.4691,20.0641,0
32.9382,19.2923,0
49.4073,18.5387,0
65.8764,17.8031,0
82.3455,17.0854,0
98.8146,16.3853,0
115.284,15.7025,0
131.753,15.0369,0
148.222,14.3883,0
164.691,13.7564,0
181.16,13.141,0
197.629,12.5419,0
214.098,11.9589,0
230.568,11.3917,0
247.037,10.8403,0
263.506,10.3043,0
279.975,9.78352,0
296.444,9.27781,0
312.913,8.78695,0
329.382,8.31072,0
345.851,7.84892,0
362.32,7.40135,0
378.789,6.9678,0
395.259,6.54808,0
411.728,6.14199,0
428.197,5.74932,0
444.666,5.36987,0
461.135,5.00346,0
477.604,4.64989,0
494.073,4.30896,0
510.542,3.98047,0
527.011,3.66424,0
543.481,3.36008,0
559.95,3.06778,0
576.419,2.78717,0
592.888,2.51806,0
609.357,2.26025,0
625.826,2.01357,0
642.295,1.77782,0
658.764,1.55282,0
675.233,1.3384,0
691.703,1.13436,1
708.172,0.940519,0
724.641,0.756707,0
741.11,0.582741,0
757.579,0.418442,0
774.048,0.263634,0
790.517,0.118141,0
806.986,-0.0182131,0
823.455,-0.145602,0
839.925,-0.264198,0
856.394,-0.374173,0
872.863,-0.475699,0
889.332,-0.568945,0
905.801,-0.654081,0
922.27,-0.731273,0
938.739,-0.800688,0
955.208,-0.862494,0
971.677,-0.916853,0
988.146,-0.96393,0
1004.62,-1.00389,0
1021.08,-1.03689,0
1037.55,-1.06309,0
1054.02,-1.08265,0
1070.49,-1.09574,0
1086.96,-1.1025,0
1103.43,-1.1031,0
1119.9,-1.09768,0
1136.37,-1.08642,0
1152.84,-1.06945,0
1169.31,-1.04693,0
1185.78,-1.01901,0
1202.24,-0.98584,0
1218.71,-0.947573,0
1235.18,-0.904356,0
1251.65,-0.856335,0
1268.12,-0.803656,0
1284.59,-0.746465,0
1301.06,-0.684905,0
1317.53,-0.61912,0
1334,-0.549251,0
1350.47,-0.47544,0
1366.94,-0.397826,0
1383.41,-0.316549,0
1399.87,-0.231746,0
1416.34,-0.143554,0
1432.81,-0.052109,0
1449.28,0.0424542,0
1465.75,0.140002,0
1482.22,0.240402,0
1498.69,0.343521,0
1515.16,0.449231,0
1531.63,0.5574,0
1548.1,0.6679,0
1564.57,0.780604,0
1581.03,0.895385,0
1597.5,1.01212,0
1613.97,1.13068,0
1630.44,1.25094,0
1646.91,1.37279,0
1663.38,1.49609,0
1679.85,1.62074,0
1696.32,1.7466,0
1712.79,1.87357,0
1729.26,2.00152,0
1745.73,2.13035,0
1762.19,2.25992,0
1778.66,2.39013,1
1795.13,2.52087,0
1811.6,2.65203,0
1828.07,2.78349,0
1844.54,2.91514,0
1861.01,3.04687,0
1877.48,3.17858,0
1893.95,3.31016,0
1910.42,3.44151,0
1926.89,3.57251,0
1943.35,3.70307,0
1959.82,3.83308,0
1976.29,3.96244,0
1992.76,4.09104,0
2009.23,4.2188,0
2025.7,4.34561,0
2042.17,4.47137,0
2058.64,4.59599,0
2075.11,4.71938,0
2091.58,4.84142,0
2108.05,4.96204,0
2124.51,5.08115,0
2140.98,5.19864,0
2157.45,5.31443,0
2173.92,5.42842,0
2190.39,5.54055,0
2206.86,5.6507,0
2223.33,5.7588,0
2239.8,5.86477,0
2256.27,5.96851,0
2272.74,6.06995,0
2289.21,6.169,0
2305.68,6.26558,0
2322.14,6.35961,0
2338.61,6.45102,0
2355.08,6.53972,0
2371.55,6.62564,0
2388.02,6.70869,0
2404.49,6.78882,0
2420.96,6.86594,0
2437.43,6.93998,0
2453.9,7.01087,0
2470.37,7.07853,0
2486.84,7.1429,0
2503.3,7.20391,0
2519.77,7.26149,0
2536.24,7.31558,0
2552.71,7.3661,0
2569.18,7.413,0
2585.65,7.45621,0
2602.12,7.49566,0
2618.59,7.53131,0
2635.06,7.56308,0
2651.53,7.59091,0
2668,7.61476,0
2684.46,7.63455,0
2700.93,7.65024,0
2717.4,7.66177,0
2733.87,7.66908,0
2750.34,7.67212,0
2766.81,7.67085,0
2783.28,7.6652,0
2799.75,7.65513,0
2816.22,7.64059,0
2832.69,7.62152,0
2849.16,7.5979,0
2865.62,7.56966,0
2882.09,7.53676,0
2898.56,7.49916,0
2915.03,7.45682,0
2931.5,7.40969,0
2947.97,7.35773,0
2964.44,7.30091,0
2980.91,7.23918,0
2997.38,7.1725,0
3013.85,7.10085,0
3030.32,7.02418,0
3046.79,6.94246,0
3063.25,6.85566,0
3079.72,6.76374,0
3096.19,6.66667,0
3112.66,6.56442,0
3129.13,6.45696,0
3145.6,6.34427,0
3162.07,6.22631,0
3178.54,6.10306,0
3195.01,5.97449,0
3211.48,5.84058,0
3227.95,5.70131,0
3244.41,5.55665,0
3260.88,5.40659,0
3277.35,5.25109,0
3293.82,5.09015,0
3310.29,4.92375,0
3326.76,4.75186,0
3343.23,4.57447,0
3359.7,4.39157,0
3376.17,4.20314,0
3392.64,4.00917,0
3409.11,3.80965,0
3425.57,3.60457,0
3442.04,3.39391,0
3458.51,3.17767,0
3474.98,2.95584,0
3491.45,2.72841,0
3507.92,2.49538,0
3524.39,2.25674,0
3540.86,2.01249,1
3557.33,1.76262,0
3573.8,1.50714,0
3590.27,1.24605,0
3606.73,0.979335,0
3623.2,0.707009,0
3639.67,0.42907,0
3656.14,0.145523,0
3672.61,-0.143629,0
3689.08,-0.438378,0
3705.55,-0.73872,0
3722.02,-1.04465,0
3738.49,-1.35615,0
3754.96,-1.67321,0
3771.43,-1.99584,0
3787.89,-2.324,0
3804.36,-2.6577,0
3820.83,-2.99691,0
3837.3,-3.34163,0
3853.77,-3.69183,0
3870.24,-4.0475,0
3886.71,-4.40862,0
3903.18,-4.77517,0
3919.65,-5.14714,0
3936.12,-5.5245,0
3952.59,-5.90722,0
3969.06,-6.29529,0
3985.52,-6.68869,0
4001.99,-7.08738,0
4018.46,-7.49134,0
4034.93,-7.90054,0
4051.4,-8.31496,0
4067.87,-8.73457,0
4084.34,-9.15933,0
4100.81,-9.58921,0
4117.28,-10.0242,0
4133.75,-10.4642,0
4150.22,-10.9093,0
4166.68,-11.3593,0
4183.15,-11.8143,0
4199.62,-12.2742,0
4216.09,-12.739,0
4232.56,-13.2086,0
4249.03,-13.6831,0
4265.5,-14.1622,0
4281.97,-14.6461,0
4298.44,-15.1347,0
4314.91,-15.6278,0
4331.38,-16.1256,0
4347.84,-16.6279,0
4364.31,-17.1346,0
4380.78,-17.6458,0
4397.25,-18.1614,0
4413.72,-18.6813,0
4430.19,-19.2055,0
4446.66,-19.7339,0
4463.13,-20.2665,0
4479.6,-20.8032,0
4496.07,-21.344,0
4512.54,-21.8888,0
4529,-22.4375,0
4545.47,-22.9901,0
4561.94,-23.5465,0
4578.41,-24.1067,0
4594.88,-24.6706,0
4611.35,-25.2382,0
4627.82,-25.8093,0
4644.29,-26.3839,0
4660.76,-26.962,0
4677.23,-27.5434,0
4693.7,-28.1282,0
4710.16,-28.7162,0
4726.63,-29.3073,0
4743.1,-29.9016,0
4759.57,-30.4989,0
4776.04,-31.0991,0
4792.51,-31.7022,0
4808.98,-32.3081,0
4825.45,-32.9168,0
4841.92,-33.528,0
4858.39,-34.1419,0
4874.86,-34.7582,0
4891.33,-35.3769,0
4907.79,-35.998,0
4924.26,-36.6213,0
4940.73,-37.2467,0
4957.2,-37.8742,0
4973.67,-38.5037,0
4990.14,-39.1352,0
5006.61,-39.7684,0
5023.08,-40.4033,0
5039.55,-41.0399,0
5056.02,-41.678,0
5072.49,-42.3175,0
5088.95,-42.9584,0
5105.42,-43.6006,0
5121.89,-44.2439,0
5138.36,-44.8883,0
5154.83,-45.5337,0
5171.3,-46.1799,0
5187.77,-46.8269,0
5204.24,-47.4746,0
5220.71,-48.1229,0
5237.18,-48.7716,0
5253.65,-49.4207,0
5270.11,-50.07,0
5286.58,-50.7195,0
5303.05,-51.3691,0
5319.52,-52.0186,0
5335.99,-52.6679,0
5352.46,-53.3169,0
5368.93,-53.9656,0
5385.4,-54.6137,0
5401.87,-55.2613,0
5418.34,-55.9081,0
5434.81,-56.554,0
5451.27,-57.199,0
5467.74,-57.843,0
5484.21,-58.4857,0
5500.68,-59.1271,0
5517.15,-59.7671,0
5533.62,-60.4055,0
5550.09,-61.0423,0
5566.56,-61.6773,0
5583.03,-62.3103,0
5599.5,-62.9413,0
5615.97,-63.5701,0
5632.44,-64.1966,0
5648.9,-64.8206,0
5665.37,-65.4422,0
5681.84,-66.061,0
5698.31,-66.677,0
5714.78,-67.29,0
5731.25,-67.9,0
5747.72,-68.5067,0
5764.19,-69.1101,0
5780.66,-69.7099,0
5797.13,-70.3062,0
5813.6,-70.8986,0
5830.06,-71.4872,0
5846.53,-72.0717,0
5863,-72.652,0
5879.47,-73.228,0
5895.94,-73.7995,0
5912.41,-74.3663,0
5928.88,-74.9284,0
5945.35,-75.4856,0
5961.82,-76.0377,0
5978.29,-76.5846,0
5994.76,-77.1261,0
6011.22,-77.6622,0
6027.69,-78.1925,0
6044.16,-78.717,0
6060.63,-79.2356,0
6077.1,-79.748,0
6093.57,-80.2541,0
6110.04,-80.7538,0
6126.51,-81.2469,0
6142.98,-81.7332,0
6159.45,-82.2126,0
6175.92,-82.6849,0
6192.38,-83.15,0
6208.85,-83.6076,0
6225.32,-84.0577,0
6241.79,-84.5,0
6258.26,-84.9345,0
6274.73,-85.3608,0
6291.2,-85.7789,0
6307.67,-86.1887,0
6324.14,-86.5898,0
6340.61,-86.9821,0
6357.08,-87.3656,0
6373.54,-87.7399,0
6390.01,-88.105,0
6406.48,-88.4606,0
6422.95,-88.8066,0
6439.42,-89.1428,0
6455.89,-89.4689,0
6472.36,-89.785,0
6488.83,-90.0906,0
6505.3,-90.3858,0
6521.77,-90.6702,0
6538.24,-90.9438,0
6554.71,-91.2062,0
6571.17,-91.4574,0
6587.64,-91.6972,0
6604.11,-91.9253,0
6620.58,-92.1415,0
6637.05,-92.3458,0
6653.52,-92.5378,0
6669.99,-92.7175,0
6686.46,-92.8845,0
6702.93,-93.0387,0
6719.4,-93.18,0
6735.87,-93.308,0
6752.33,-93.4227,0
6768.8,-93.5238,0
6785.27,-93.6111,0
6801.74,-93.6845,0
6818.21,-93.7436,0
6834.68,-93.7884,0
6851.15,-93.8186,0
6867.62,-93.8339,0
6884.09,-93.8343,0
6900.56,-93.8195,0
6917.03,-93.7893,0
6933.49,-93.7434,0
6949.96,-93.6817,0
6966.43,-93.604,0
6982.9,-93.51,0
6999.37,-93.3995,0
7015.84,-93.2724,0
7032.31,-93.1283,0
7048.78,-92.9672,0
7065.25,-92.7887,0
7081.72,-92.5927,0
7098.19,-92.3788,0
7114.65,-92.1471,0
7131.12,-91.897,0
7147.59,-91.6286,0
7164.06,-91.3415,0
7180.53,-91.0355,0
7197,-90.7105,0
7213.47,-90.3661,0
7229.94,-90.0021,0
7246.41,-89.6183,0
7262.88,-89.2146,0
7279.35,-88.7905,0
7295.81,-88.346,0
7312.28,-87.8808,0
7328.75,-87.3947,0
7345.22,-86.8873,0
7361.69,-86.3586,0
7378.16,-85.8082,0
7394.63,-85.2359,0
7411.1,-84.6415,0
7427.57,-84.0247,0
7444.04,-83.3853,0
7460.51,-82.723,0
7476.98,-82.0377,0
7493.44,-81.329,0
7509.91,-80.5967,0
7526.38,-79.8406,0
7542.85,-79.0604,0
7559.32,-78.2559,0
7575.79,-77.4269,0
7592.26,-76.573,0
