Dystans (m),Wysokosc (m),Wezel
0,20.8544,1
16.4691,20.4609,0
32.9382,20.0676,0
49.4073,19.6746,0
65.8764,19.282,0
82.3455,18.8901,0
98.8146,18.4989,0
115.284,18.1087,0
131.753,17.7196,0
148.222,17.3317,0
164.691,16.9453,0
181.16,16.5604,0
197.629,16.1772,0
214.098,15.7959,0
230.568,15.4167,0
247.037,15.0396,0
263.506,14.6649,0
279.975,14.2927,0
296.444,13.9231,0
312.913,13.5564,0
329.382,13.1926,0
345.851,12.832,0
362.32,12.4746,0
378.789,12.1207,0
395.259,11.7704,0
411.728,11.4239,0
428.197,11.0812,0
444.666,10.7427,0
461.135,10.4083,0
477.604,10.0784,0
494.073,9.75297,0
510.542,9.43225,0
527.011,9.11638,0
543.481,8.80552,0
559.95,8.49982,0
576.419,8.19945,0
592.888,7.90455,0
609.357,7.61529,0
625.826,7.33182,0
642.295,7.0543,0
658.764,6.78287,0
675.233,6.51772,0
691.703,6.25897,0
708.172,6.0068,0
724.641,5.76137,0
741.11,5.52281,0
757.579,5.2913,0
774.048,5.06699,0
790.517,4.85004,0
806.986,4.6406,0
823.455,4.43883,0
839.925,4.24488,0
856.394,4.05892,0
872.863,3.88109,0
889.332,3.71156,0
905.801,3.55048,0
922.27,3.39801,1
938.739,3.25426,0
955.208,3.11911,0
971.677,2.99244,0
988.146,2.87407,0
1004.62,2.76387,0
1021.08,2.66168,0
1037.55,2.56736,0
1054.02,2.48075,0
1070.49,2.4017,0
1086.96,2.33007,0
1103.43,2.2657,0
1119.9,2.20844,0
1136.37,2.15814,0
1152.84,2.11465,0
1169.31,2.07782,0
1185.78,2.04751,0
1202.24,2.02356,0
1218.71,2.00581,0
1235.18,1.99413,0
1251.65,1.98836,0
1268.12,1.98835,0
1284.59,1.99395,0
1301.06,2.00501,0
1317.53,2.02137,0
1334,2.0429,0
1350.47,2.06943,0
1366.94,2.10083,0
1383.41,2.13693,0
1399.87,2.17759,0
1416.34,2.22266,0
1432.81,2.27199,0
1449.28,2.32542,0
1465.75,2.38281,0
1482.22,2.44401,0
1498.69,2.50886,0
1515.16,2.57722,0
1531.63,2.64894,0
1548.1,2.72386,0
1564.57,2.80184,0
1581.03,2.88273,0
1597.5,2.96637,0
1613.97,3.05261,0
1630.44,3.14131,0
1646.91,3.23232,0
1663.38,3.32548,0
1679.85,3.42064,0
1696.32,3.51766,0
1712.79,3.61638,0
1729.26,3.71665,0
1745.73,3.81833,0
1762.19,3.92126,0
1778.66,4.0253,0
1795.13,4.13028,0
1811.6,4.23607,0
1828.07,4.34251,0
1844.54,4.44946,1
1861.01,4.55676,0
1877.48,4.66429,0
1893.95,4.77195,0
1910.42,4.87961,0
1926.89,4.98716,0
1943.35,5.09449,0
1959.82,5.20147,0
1976.29,5.308,0
1992.76,5.41395,0
2009.23,5.51921,0
2025.7,5.62368,0
2042.17,5.72722,0
2058.64,5.82972,0
2075.11,5.93108,0
