Dystans (m),Wysokosc (m),Wezel
0,20.8544,1
16.4691,19.038,0
32.9382,17.2259,0
49.4073,15.4226,0
65.8764,13.6325,0
82.3455,11.8599,0
98.8146,10.1093,0
115.284,8.38506,0
131.753,6.69152,0
148.222,5.0331,0
164.691,3.41419,0
181.16,1.83918,0
197.629,0.312465,0
214.098,-1.16157,0
230.568,-2.57854,0
247.037,-3.93405,0
263.506,-5.22371,0
279.975,-6.44313,0
296.444,-7.58792,0
312.913,-8.65369,0
329.382,-9.63605,0
345.851,-10.5306,0
362.32,-11.333,0
378.789,-12.0388,0
395.259,-12.6436,0
411.728,-13.143,0
428.197,-13.5327,0
444.666,-13.8083,0
461.135,-13.9653,0
477.604,-13.9995,0
494.073,-13.9063,0
510.542,-13.6814,0
527.011,-13.3204,0
543.481,-12.8189,0
559.95,-12.1726,0
576.419,-11.377,0
592.888,-10.4277,0
609.357,-9.32044,0
625.826,-8.05072,0
642.295,-6.61418,0
658.764,-5.00643,0
675.233,-3.22308,0
691.703,-1.25974,0
708.172,0.887983,1
724.641,0.18102,0
741.11,-0.43203,0
757.579,-0.953834,0
774.048,-1.38706,0
790.517,-1.73437,0
806.986,-1.99843,0
823.455,-2.18192,0
839.925,-2.2875,0
856.394,-2.31783,0
872.863,-2.27558,0
889.332,-2.16342,0
905.801,-1.98402,0
922.27,-1.74004,0
938.739,-1.43415,0
955.208,-1.06901,0
971.677,-0.647303,0
988.146,-0.171683,0
1004.62,0.355179,0
1021.08,0.930617,0
1037.55,1.55196,0
1054.02,2.21655,0
1070.49,2.92172,1
1086.96,3.90107,0
1103.43,4.86964,0
1119.9,5.82409,0
1136.37,6.76107,0
1152.84,7.67722,0
1169.31,8.5692,0
1185.78,9.43366,0
1202.24,10.2673,0
1218.71,11.0666,0
1235.18,11.8284,0
1251.65,12.5494,0
1268.12,13.226,0
1284.59,13.855,0
1301.06,14.4331,0
1317.53,14.9569,0
1334,15.423,0
1350.47,15.8281,0
1366.94,16.1689,0
1383.41,16.4419,0
1399.87,16.644,0
1416.34,16.7716,0
1432.81,16.8215,0
1449.28,16.7903,0
1465.75,16.6746,0
1482.22,16.4712,0
1498.69,16.1766,0
1515.16,15.7876,0
1531.63,15.3007,0
1548.1,14.7126,0
1564.57,14.02,0
1581.03,13.2195,0
1597.5,12.3078,0
1613.97,11.2816,0
1630.44,10.1374,0
1646.91,8.8719,0
1663.38,7.48181,0
1679.85,5.96376,0
1696.32,4.3144,0
1712.79,2.53037,1
1729.26,3.35152,0
1745.73,4.0638,0
1762.19,4.58921,0
1778.66,4.84973,0
1795.13,4.76737,0
1811.6,4.26413,0
1828.07,3.26199,1
1844.54,3.21514,0
1861.01,2.96045,0
1877.48,2.63296,0
1893.95,2.36771,1
1910.42,2.27539,0
1926.89,2.36928,0
1943.35,2.63832,0
1959.82,3.07144,1
1976.29,4.01228,0
1992.76,4.84643,0
2009.23,5.57981,0
2025.7,6.21835,0
2042.17,6.76798,0
2058.64,7.23461,0
2075.11,7.62418,0
2091.58,7.94261,0
2108.05,8.19583,0
2124.51,8.38976,0
2140.98,8.53033,0
2157.45,8.62347,0
2173.92,8.6751,0
2190.39,8.69114,0
2206.86,8.67753,0
2223.33,8.64018,0
2239.8,8.58503,0
2256.27,8.518,0
2272.74,8.44502,0
2289.21,8.372,0
2305.68,8.30489,0
2322.14,8.2496,0
2338.61,8.21205,0
2355.08,8.19819,0
2371.55,8.21392,0
2388.02,8.26518,0
2404.49,8.35789,0
2420.96,8.49798,1
2437.43,8.45975,0
2453.9,8.39836,0
2470.37,8.3144,0
2486.84,8.20845,0
2503.3,8.08108,0
2519.77,7.93288,0
2536.24,7.76442,0
2552.71,7.5763,0
2569.18,7.36907,0
2585.65,7.14333,0
2602.12,6.89966,0
2618.59,6.63863,0
2635.06,6.36082,0
2651.53,6.06682,0
2668,5.75719,1
2684.46,5.59071,0
2700.93,5.44331,0
2717.4,5.31433,0
2733.87,5.20311,0
2750.34,5.109,0
2766.81,5.03134,0
2783.28,4.96947,0
2799.75,4.92273,0
2816.22,4.89047,0
2832.69,4.87202,0
2849.16,4.86674,0
2865.62,4.87395,0
2882.09,4.89301,0
2898.56,4.92326,0
2915.03,4.96403,0
2931.5,5.01467,0
2947.97,5.07453,0
2964.44,5.14293,0
2980.91,5.21924,0
2997.38,5.30278,0
3013.85,5.39291,0
3030.32,5.48896,0
3046.79,5.59027,0
3063.25,5.69619,0
3079.72,5.80606,0
3096.19,5.91923,0
3112.66,6.03502,0
3129.13,6.1528,0
3145.6,6.27189,0
3162.07,6.39164,0
3178.54,6.51139,0
3195.01,6.63049,0
3211.48,6.74828,0
3227.95,6.86409,0
3244.41,6.97728,0
3260.88,7.08718,0
3277.35,7.19313,0
3293.82,7.29449,0
3310.29,7.39058,0
3326.76,7.48075,0
3343.23,7.56435,0
3359.7,7.64072,0
3376.17,7.70919,0
3392.64,7.76912,0
3409.11,7.81984,0
3425.57,7.86069,0
3442.04,7.89102,0
3458.51,7.91017,0
3474.98,7.91748,0
3491.45,7.9123,0
3507.92,7.89396,0
3524.39,7.86181,0
3540.86,7.81519,0
3557.33,7.75344,0
3573.8,7.67591,0
3590.27,7.58193,0
3606.73,7.47085,0
3623.2,7.34201,0
3639.67,7.19476,0
3656.14,7.02843,0
3672.61,6.84237,0
3689.08,6.63592,0
3705.55,6.40842,0
3722.02,6.15922,0
3738.49,5.88765,0
3754.96,5.59306,0
3771.43,5.27479,0
3787.89,4.93219,0
3804.36,4.56458,0
3820.83,4.17133,0
3837.3,3.75176,0
3853.77,3.30523,0
3870.24,2.83107,0
3886.71,2.32863,0
3903.18,1.79724,1
3919.65,1.82755,0
3936.12,1.86879,0
3952.59,1.9207,0
3969.06,1.98303,0
3985.52,2.05552,0
4001.99,2.13791,0
4018.46,2.22995,0
4034.93,2.33137,0
4051.4,2.44193,0
4067.87,2.56136,0
4084.34,2.68941,0
4100.81,2.82583,0
4117.28,2.97035,1
4133.75,3.23429,0
4150.22,3.49623,0
4166.68,3.75556,0
4183.15,4.01168,0
4199.62,4.26397,0
4216.09,4.51182,0
4232.56,4.75463,0
4249.03,4.99178,0
4265.5,5.22267,0
4281.97,5.4467,0
4298.44,5.66324,0
4314.91,5.87169,0
4331.38,6.07144,0
4347.84,6.26189,0
4364.31,6.44242,0
4380.78,6.61242,0
4397.25,6.77129,0
4413.72,6.91842,0
4430.19,7.0532,0
4446.66,7.17501,0
4463.13,7.28326,0
4479.6,7.37733,0
4496.07,7.45661,0
4512.54,7.52049,0
4529,7.56837,0
4545.47,7.59963,0
4561.94,7.61367,0
4578.41,7.60988,0
4594.88,7.58765,0
4611.35,7.54636,0
4627.82,7.48542,0
4644.29,7.40421,0
4660.76,7.30212,0
4677.23,7.17855,0
4693.7,7.03288,0
4710.16,6.86451,0
4726.63,6.67282,0
4743.1,6.45721,0
4759.57,6.21708,0
4776.04,5.9518,0
4792.51,5.66077,0
4808.98,5.34339,0
4825.45,4.99904,0
4841.92,4.62711,0
4858.39,4.227,0
4874.86,3.7981,0
4891.33,3.33979,0
4907.79,2.85148,0
4924.26,2.33254,1
4940.73,2.54611,0
4957.2,2.73376,0
4973.67,2.87705,0
4990.14,2.95754,0
5006.61,2.95679,0
5023.08,2.85636,0
5039.55,2.63781,0
5056.02,2.2827,0
5072.49,1.77259,0
5088.95,1.08904,1
5105.42,1.27987,1
5121.89,1.14027,0
5138.36,1.01563,0
5154.83,0.905458,0
5171.3,0.809261,0
5187.77,0.726552,0
5204.24,0.656841,0
5220.71,0.599638,0
5237.18,0.554455,0
5253.65,0.520801,0
5270.11,0.498187,0
5286.58,0.486125,0
5303.05,0.484123,0
5319.52,0.491694,0
5335.99,0.508348,0
5352.46,0.533595,0
5368.93,0.566946,0
5385.4,0.607911,0
5401.87,0.656002,0
5418.34,0.710728,0
5434.81,0.771601,0
5451.27,0.83813,0
5467.74,0.909827,0
