Dystans (m),Wysokosc (m),Wezel
0,1521.94,1
59.9514,1504.56,0
119.903,1487.52,0
179.854,1470.82,0
239.806,1454.46,0
299.757,1438.44,0
359.708,1422.75,0
419.66,1407.39,0
479.611,1392.36,0
539.562,1377.65,0
599.514,1363.27,0
659.465,1349.2,0
719.417,1335.44,0
779.368,1321.99,0
839.319,1308.86,0
899.271,1296.03,0
959.222,1283.5,0
1019.17,1271.27,0
1079.12,1259.34,0
1139.08,1247.7,0
1199.03,1236.35,0
1258.98,1225.29,0
1318.93,1214.52,0
1378.88,1204.03,0
1438.83,1193.81,0
1498.78,1183.88,0
1558.74,1174.21,0
1618.69,1164.82,0
1678.64,1155.69,0
1738.59,1146.83,0
1798.54,1138.24,0
1858.49,1129.9,0
1918.44,1121.81,0
1978.4,1113.99,0
2038.35,1106.41,0
2098.3,1099.08,0
2158.25,1091.99,0
2218.2,1085.15,0
2278.15,1078.55,0
2338.1,1072.19,0
2398.06,1066.06,0
2458.01,1060.16,0
2517.96,1054.49,0
2577.91,1049.05,0
2637.86,1043.83,0
2697.81,1038.84,0
2757.76,1034.06,0
2817.72,1029.5,0
2877.67,1025.15,0
2937.62,1021.01,0
2997.57,1017.08,0
3057.52,1013.36,0
3117.47,1009.84,0
3177.42,1006.52,0
3237.37,1003.4,0
3297.33,1000.48,0
3357.28,997.744,0
3417.23,995.202,0
3477.18,992.848,0
3537.13,990.68,0
3597.08,988.696,0
3657.03,986.892,0
3716.99,985.266,0
3776.94,983.816,0
3836.89,982.539,0
3896.84,981.434,0
3956.79,980.497,0
4016.74,979.726,0
4076.69,979.12,0
4136.65,978.675,0
4196.6,978.389,0
4256.55,978.259,0
4316.5,978.285,0
4376.45,978.462,0
4436.4,978.79,0
4496.35,979.265,0
4556.31,979.886,0
4616.26,980.649,0
4676.21,981.554,0
4736.16,982.597,0
4796.11,983.776,0
4856.06,985.089,0
4916.01,986.535,0
4975.96,988.11,0
5035.92,989.813,0
5095.87,991.641,0
5155.82,993.592,0
5215.77,995.664,0
5275.72,997.856,0
5335.67,1000.16,0
5395.62,1002.59,0
5455.58,1005.12,0
5515.53,1007.77,0
5575.48,1010.52,0
5635.43,1013.38,0
5695.38,1016.35,0
5755.33,1019.42,0
5815.28,1022.58,0
5875.24,1025.85,0
5935.19,1029.21,0
5995.14,1032.67,0
6055.09,1036.21,0
6115.04,1039.85,0
6174.99,1043.58,0
6234.94,1047.39,0
6294.9,1051.29,0
