Dystans (m),Wysokosc (m),Wezel
0,1521.94,1
59.9514,1453.43,0
119.903,1386.11,0
179.854,1319.94,0
239.806,1254.94,0
299.757,1191.08,0
359.708,1128.36,0
419.66,1066.77,0
479.611,1006.29,0
539.562,946.927,0
599.514,888.66,0
659.465,831.483,0
719.417,775.385,0
779.368,720.359,0
839.319,666.394,0
899.271,613.481,0
959.222,561.611,0
1019.17,510.774,0
1079.12,460.961,0
1139.08,412.164,0
1199.03,364.372,0
1258.98,317.577,0
1318.93,271.769,0
1378.88,226.94,0
1438.83,183.081,0
1498.78,140.182,0
1558.74,98.2348,0
1618.69,57.23,0
1678.64,17.1589,0
1738.59,-21.9873,0
1798.54,-60.2175,0
1858.49,-97.5405,0
1918.44,-133.965,0
1978.4,-169.5,0
2038.35,-204.153,0
2098.3,-237.935,0
2158.25,-270.852,0
2218.2,-302.914,0
2278.15,-334.13,0
2338.1,-364.507,0
2398.06,-394.055,0
2458.01,-422.782,0
2517.96,-450.695,0
2577.91,-477.804,0
2637.86,-504.118,0
2697.81,-529.643,0
2757.76,-554.389,0
2817.72,-578.363,0
2877.67,-601.575,0
2937.62,-624.031,0
2997.57,-645.741,0
3057.52,-666.712,0
3117.47,-686.953,0
3177.42,-706.471,0
3237.37,-725.274,0
3297.33,-743.371,0
3357.28,-760.769,0
3417.23,-777.476,0
3477.18,-793.5,0
3537.13,-808.849,0
3597.08,-823.531,0
3657.03,-837.553,0
3716.99,-850.923,0
3776.94,-863.649,0
3836.89,-875.738,0
3896.84,-887.199,0
3956.79,-898.038,0
4016.74,-908.263,0
4076.69,-917.882,0
4136.65,-926.903,0
4196.6,-935.331,0
4256.55,-943.176,0
4316.5,-950.445,0
4376.45,-957.144,0
4436.4,-963.281,0
4496.35,-968.863,0
4556.31,-973.898,0
4616.26,-978.393,0
4676.21,-982.354,0
4736.16,-985.79,0
4796.11,-988.706,0
4856.06,-991.111,0
4916.01,-993.011,0
4975.96,-994.414,0
5035.92,-995.325,0
5095.87,-995.753,0
5155.82,-995.703,0
5215.77,-995.184,0
5275.72,-994.201,0
5335.67,-992.761,0
5395.62,-990.872,0
5455.58,-988.539,0
5515.53,-985.77,0
5575.48,-982.572,0
5635.43,-978.95,0
5695.38,-974.911,0
5755.33,-970.463,0
5815.28,-965.611,0
5875.24,-960.361,0
5935.19,-954.722,0
5995.14,-948.697,0
6055.09,-942.296,0
6115.04,-935.522,0
6174.99,-928.383,0
6234.94,-920.886,0
6294.9,-913.035,0
6354.85,-904.838,0
6414.8,-896.301,0
6474.75,-887.43,0
6534.7,-878.23,0
6594.65,-868.708,0
6654.6,-858.87,0
6714.55,-848.722,0
6774.51,-838.27,0
6834.46,-827.519,0
6894.41,-816.477,0
6954.36,-805.147,0
7014.31,-793.537,0
7074.26,-781.653,0
7134.21,-769.499,0
7194.17,-757.081,0
7254.12,-744.406,0
7314.07,-731.479,0
7374.02,-718.305,0
7433.97,-704.89,0
7493.92,-691.24,0
7553.87,-677.36,0
7613.83,-663.255,0
7673.78,-648.932,0
7733.73,-634.394,0
7793.68,-619.649,0
7853.63,-604.701,0
7913.58,-589.555,0
7973.53,-574.217,0
8033.49,-558.691,0
8093.44,-542.984,0
8153.39,-527.1,0
8213.34,-511.044,0
8273.29,-494.822,0
8333.24,-478.438,0
8393.19,-461.898,0
8453.15,-445.206,0
8513.1,-428.368,0
8573.05,-411.387,0
8633,-394.271,0
8692.95,-377.022,0
8752.9,-359.646,0
8812.85,-342.148,0
8872.8,-324.532,0
8932.76,-306.804,0
8992.71,-288.967,0
