Dystans (m),Wysokosc (m),Wezel
0,1521.94,1
59.9514,1516.49,0
119.903,1511.05,0
179.854,1505.61,0
239.806,1500.17,0
299.757,1494.74,0
359.708,1489.3,0
419.66,1483.88,0
479.611,1478.46,0
539.562,1473.05,0
599.514,1467.65,0
659.465,1462.26,0
719.417,1456.88,0
779.368,1451.5,0
839.319,1446.15,0
899.271,1440.8,0
959.222,1435.47,0
1019.17,1430.16,0
1079.12,1424.86,0
1139.08,1419.57,0
1199.03,1414.31,0
1258.98,1409.06,0
1318.93,1403.84,0
1378.88,1398.63,0
1438.83,1393.45,0
1498.78,1388.29,0
1558.74,1383.16,0
1618.69,1378.04,0
1678.64,1372.96,0
1738.59,1367.9,0
1798.54,1362.87,0
1858.49,1357.87,0
1918.44,1352.89,0
1978.4,1347.95,0
2038.35,1343.04,0
2098.3,1338.16,0
2158.25,1333.31,0
2218.2,1328.5,0
2278.15,1323.72,0
2338.1,1318.98,0
2398.06,1314.28,0
2458.01,1309.61,0
2517.96,1304.98,0
2577.91,1300.4,0
2637.86,1295.85,0
2697.81,1291.34,0
2757.76,1286.88,0
2817.72,1282.46,0
2877.67,1278.09,0
2937.62,1273.76,0
2997.57,1269.48,0
3057.52,1265.25,0
3117.47,1261.06,0
3177.42,1256.93,0
3237.37,1252.84,0
3297.33,1248.8,0
3357.28,1244.82,0
3417.23,1240.89,0
3477.18,1237.02,0
3537.13,1233.2,0
3597.08,1229.43,0
3657.03,1225.73,0
3716.99,1222.08,0
3776.94,1218.49,0
3836.89,1214.96,0
3896.84,1211.49,0
3956.79,1208.08,0
4016.74,1204.73,0
4076.69,1201.45,0
4136.65,1198.24,0
4196.6,1195.08,0
4256.55,1192,0
4316.5,1188.98,0
4376.45,1186.03,0
4436.4,1183.15,0
4496.35,1180.34,0
4556.31,1177.6,0
4616.26,1174.94,0
4676.21,1172.34,0
4736.16,1169.82,0
4796.11,1167.38,0
4856.06,1165.01,0
4916.01,1162.72,0
4975.96,1160.51,0
5035.92,1158.37,0
5095.87,1156.32,0
5155.82,1154.34,0
5215.77,1152.45,0
5275.72,1150.64,0
5335.67,1148.91,0
5395.62,1147.27,0
5455.58,1145.72,0
5515.53,1144.25,0
5575.48,1142.86,0
5635.43,1141.57,0
5695.38,1140.36,0
5755.33,1139.25,0
5815.28,1138.23,0
5875.24,1137.29,0
5935.19,1136.45,0
5995.14,1135.71,0
6055.09,1135.06,0
6115.04,1134.51,0
6174.99,1134.05,0
6234.94,1133.69,0
6294.9,1133.43,0
6354.85,1133.27,0
6414.8,1133.21,0
6474.75,1133.25,0
6534.7,1133.4,0
6594.65,1133.64,0
6654.6,1133.99,0
6714.55,1134.45,0
6774.51,1135.02,0
6834.46,1135.69,0
6894.41,1136.47,0
6954.36,1137.36,0
7014.31,1138.35,0
7074.26,1139.46,0
7134.21,1140.69,0
7194.17,1142.02,0
7254.12,1143.47,0
7314.07,1145.03,0
7374.02,1146.71,0
7433.97,1148.51,0
7493.92,1150.42,0
7553.87,1152.45,0
7613.83,1154.61,1
7673.78,1156.88,0
7733.73,1159.27,0
7793.68,1161.78,0
7853.63,1164.4,0
7913.58,1167.14,0
7973.53,1169.98,0
8033.49,1172.94,0
8093.44,1176,0
8153.39,1179.16,0
8213.34,1182.43,0
8273.29,1185.8,0
8333.24,1189.27,0
8393.19,1192.83,0
8453.15,1196.49,0
8513.1,1200.25,0
8573.05,1204.09,0
8633,1208.02,0
8692.95,1212.04,0
8752.9,1216.15,0
8812.85,1220.33,0
8872.8,1224.6,0
8932.76,1228.95,0
8992.71,1233.38,0
9052.66,1237.88,0
9112.61,1242.45,0
9172.56,1247.09,0
9232.51,1251.81,0
9292.46,1256.59,0
9352.42,1261.43,0
9412.37,1266.34,0
9472.32,1271.31,0
9532.27,1276.34,0
9592.22,1281.43,0
9652.17,1286.57,0
9712.12,1291.77,0
9772.08,1297.01,0
9832.03,1302.31,0
9891.98,1307.65,0
9951.93,1313.04,0
10011.9,1318.47,0
10071.8,1323.95,0
10131.8,1329.46,0
10191.7,1335.01,0
10251.7,1340.6,0
10311.6,1346.22,0
10371.6,1351.87,0
10431.5,1357.55,0
10491.5,1363.26,0
10551.4,1368.99,0
10611.4,1374.75,0
10671.3,1380.53,0
10731.3,1386.33,0
10791.2,1392.15,0
10851.2,1397.98,0
10911.2,1403.83,0
10971.1,1409.68,0
11031.1,1415.55,0
11091,1421.43,0
11151,1427.31,0
11210.9,1433.2,0
11270.9,1439.08,0
11330.8,1444.97,0
11390.8,1450.86,0
11450.7,1456.74,0
11510.7,1462.61,0
11570.6,1468.48,0
11630.6,1474.34,0
11690.5,1480.19,0
11750.5,1486.02,0
11810.4,1491.83,0
11870.4,1497.63,0
11930.3,1503.41,0
11990.3,1509.16,0
12050.2,1514.9,0
12110.2,1520.6,0
12170.1,1526.28,0
12230.1,1531.93,0
12290,1537.55,0
12350,1543.13,0
12409.9,1548.68,0
12469.9,1554.19,0
12529.8,1559.66,0
12589.8,1565.09,0
12649.7,1570.48,0
12709.7,1575.82,0
12769.6,1581.11,0
12829.6,1586.35,0
12889.5,1591.54,0
12949.5,1596.68,0
13009.5,1601.76,0
13069.4,1606.79,0
13129.4,1611.75,0
13189.3,1616.66,0
13249.3,1621.5,0
13309.2,1626.27,0
13369.2,1630.98,0
13429.1,1635.62,0
13489.1,1640.19,0
13549,1644.68,0
13609,1649.1,0
13668.9,1653.44,0
13728.9,1657.71,0
13788.8,1661.89,0
13848.8,1665.99,0
13908.7,1670,0
13968.7,1673.93,0
14028.6,1677.76,0
14088.6,1681.51,0
14148.5,1685.16,0
14208.5,1688.72,0
14268.4,1692.18,0
14328.4,1695.54,0
14388.3,1698.8,0
14448.3,1701.96,0
14508.2,1705.01,0
14568.2,1707.96,0
14628.1,1710.8,0
14688.1,1713.52,0
14748,1716.14,0
14808,1718.64,0
14867.9,1721.02,0
14927.9,1723.28,0
14987.8,1725.42,0
15047.8,1727.44,0
15107.7,1729.34,0
15167.7,1731.11,0
15227.7,1732.75,1
15287.6,1734.26,0
15347.6,1735.64,0
15407.5,1736.89,0
15467.5,1738.01,0
15527.4,1739.02,0
15587.4,1739.89,0
15647.3,1740.65,0
15707.3,1741.28,0
15767.2,1741.8,0
15827.2,1742.2,0
15887.1,1742.48,0
15947.1,1742.64,0
16007,1742.69,0
16067,1742.63,0
16126.9,1742.46,0
16186.9,1742.18,0
16246.8,1741.79,0
16306.8,1741.29,0
16366.7,1740.69,0
16426.7,1739.98,0
16486.6,1739.17,0
16546.6,1738.26,0
16606.5,1737.25,0
16666.5,1736.14,0
16726.4,1734.93,0
16786.4,1733.63,0
16846.3,1732.24,0
16906.3,1730.75,0
16966.2,1729.17,0
17026.2,1727.5,0
17086.1,1725.74,0
17146.1,1723.89,0
17206,1721.96,0
17266,1719.94,0
17325.9,1717.84,0
17385.9,1715.66,0
17445.9,1713.4,0
17505.8,1711.05,0
17565.8,1708.64,0
17625.7,1706.14,0
17685.7,1703.57,0
17745.6,1700.93,0
17805.6,1698.21,0
17865.5,1695.43,0
17925.5,1692.57,0
17985.4,1689.65,0
18045.4,1686.66,0
18105.3,1683.61,0
18165.3,1680.49,0
18225.2,1677.31,0
18285.2,1674.07,0
18345.1,1670.78,0
18405.1,1667.42,0
18465,1664,0
18525,1660.54,0
18584.9,1657.01,0
18644.9,1653.44,0
18704.8,1649.81,0
18764.8,1646.14,0
18824.7,1642.41,0
18884.7,1638.64,0
18944.6,1634.83,0
19004.6,1630.97,0
19064.5,1627.06,0
19124.5,1623.12,0
19184.4,1619.14,0
19244.4,1615.11,0
19304.3,1611.05,0
19364.3,1606.96,0
19424.2,1602.83,0
19484.2,1598.67,0
19544.2,1594.48,0
19604.1,1590.25,0
19664.1,1586,0
19724,1581.72,0
19784,1577.42,0
19843.9,1573.09,0
19903.9,1568.74,0
19963.8,1564.36,0
20023.8,1559.97,0
20083.7,1555.56,0
20143.7,1551.13,0
20203.6,1546.68,0
20263.6,1542.22,0
20323.5,1537.75,0
20383.5,1533.26,0
20443.4,1528.76,0
20503.4,1524.26,0
20563.3,1519.74,0
20623.3,1515.23,0
20683.2,1510.7,0
20743.2,1506.17,0
20803.1,1501.64,0
20863.1,1497.11,0
20923,1492.58,0
20983,1488.06,0
21042.9,1483.53,0
21102.9,1479.01,0
21162.8,1474.5,0
21222.8,1470,0
21282.7,1465.5,0
21342.7,1461.01,0
21402.6,1456.54,0
21462.6,1452.08,0
21522.5,1447.63,0
21582.5,1443.21,0
21642.4,1438.79,0
21702.4,1434.4,0
21762.4,1430.03,0
21822.3,1425.68,0
21882.3,1421.35,0
21942.2,1417.05,0
22002.2,1412.77,0
22062.1,1408.52,0
22122.1,1404.3,0
22182,1400.1,0
22242,1395.94,0
22301.9,1391.82,0
22361.9,1387.72,0
22421.8,1383.67,0
22481.8,1379.65,0
22541.7,1375.67,0
22601.7,1371.72,0
22661.6,1367.82,0
22721.6,1363.97,0
22781.5,1360.15,0
22841.5,1356.38,1
22901.4,1352.81,0
22961.4,1349.29,0
23021.3,1345.82,0
23081.3,1342.39,0
23141.2,1339.02,0
23201.2,1335.7,0
23261.1,1332.42,0
23321.1,1329.2,0
23381,1326.02,0
23441,1322.89,0
23500.9,1319.8,0
23560.9,1316.76,0
23620.8,1313.77,0
23680.8,1310.83,0
23740.7,1307.93,0
23800.7,1305.07,0
23860.7,1302.26,0
23920.6,1299.5,0
23980.6,1296.78,0
24040.5,1294.1,0
24100.5,1291.47,0
24160.4,1288.87,0
24220.4,1286.32,0
24280.3,1283.82,0
24340.3,1281.35,0
24400.2,1278.93,0
24460.2,1276.54,0
24520.1,1274.2,0
24580.1,1271.9,0
24640,1269.63,0
24700,1267.41,0
24759.9,1265.22,0
24819.9,1263.08,0
24879.8,1260.97,0
24939.8,1258.9,0
24999.7,1256.86,0
25059.7,1254.87,0
25119.6,1252.91,0
25179.6,1250.98,0
25239.5,1249.09,0
25299.5,1247.24,0
25359.4,1245.42,0
25419.4,1243.64,0
25479.3,1241.89,0
25539.3,1240.17,0
25599.2,1238.49,0
25659.2,1236.84,0
25719.1,1235.22,0
25779.1,1233.64,0
25839,1232.08,0
25899,1230.56,0
25958.9,1229.07,0
26018.9,1227.61,0
26078.9,1226.18,0
26138.8,1224.78,0
26198.8,1223.41,0
26258.7,1222.07,0
26318.7,1220.76,0
26378.6,1219.48,0
26438.6,1218.22,0
26498.5,1216.99,0
26558.5,1215.79,0
26618.4,1214.61,0
26678.4,1213.46,0
26738.3,1212.34,0
26798.3,1211.24,0
26858.2,1210.17,0
26918.2,1209.12,0
26978.1,1208.1,0
27038.1,1207.1,0
27098,1206.12,0
27158,1205.17,0
27217.9,1204.24,0
27277.9,1203.34,0
27337.8,1202.45,0
27397.8,1201.59,0
27457.7,1200.74,0
27517.7,1199.92,0
27577.6,1199.12,0
27637.6,1198.34,0
27697.5,1197.58,0
27757.5,1196.83,0
27817.4,1196.11,0
27877.4,1195.41,0
27937.3,1194.72,0
27997.3,1194.05,0
28057.2,1193.4,0
28117.2,1192.76,0
28177.2,1192.14,0
28237.1,1191.54,0
28297.1,1190.95,0
28357,1190.38,0
28417,1189.82,0
28476.9,1189.28,0
28536.9,1188.75,0
28596.8,1188.24,0
28656.8,1187.74,0
28716.7,1187.25,0
28776.7,1186.77,0
28836.6,1186.31,0
28896.6,1185.86,0
28956.5,1185.42,0
29016.5,1184.99,0
29076.4,1184.57,0
29136.4,1184.16,0
29196.3,1183.76,0
29256.3,1183.37,0
29316.2,1182.99,0
29376.2,1182.62,0
29436.1,1182.26,0
29496.1,1181.9,0
29556,1181.56,0
29616,1181.22,0
29675.9,1180.88,0
29735.9,1180.55,0
29795.8,1180.23,0
29855.8,1179.91,0
29915.7,1179.6,0
29975.7,1179.3,0
30035.6,1178.99,0
30095.6,1178.7,0
30155.5,1178.4,0
30215.5,1178.11,0
30275.4,1177.82,0
30335.4,1177.53,0
30395.4,1177.25,0
30455.3,1176.96,0
30515.3,1176.68,0
30575.2,1176.4,0
30635.2,1176.12,1
