Dystans (m),Wysokosc (m),Wezel
0,1521.94,1
59.9514,1518.79,0
119.903,1515.63,0
179.854,1512.48,0
239.806,1509.32,0
299.757,1506.17,0
359.708,1503.01,0
419.66,1499.85,0
479.611,1496.69,0
539.562,1493.53,0
599.514,1490.36,0
659.465,1487.2,0
719.417,1484.03,0
779.368,1480.85,0
839.319,1477.68,0
899.271,1474.5,0
959.222,1471.32,0
1019.17,1468.13,0
1079.12,1464.94,0
1139.08,1461.75,0
1199.03,1458.55,0
1258.98,1455.34,0
1318.93,1452.14,0
1378.88,1448.92,0
1438.83,1445.7,0
1498.78,1442.48,0
1558.74,1439.24,0
1618.69,1436.01,0
1678.64,1432.76,0
1738.59,1429.51,0
1798.54,1426.25,0
1858.49,1422.99,0
1918.44,1419.72,0
1978.4,1416.44,0
2038.35,1413.15,0
2098.3,1409.85,0
2158.25,1406.55,0
2218.2,1403.24,0
2278.15,1399.91,0
2338.1,1396.58,0
2398.06,1393.24,0
2458.01,1389.89,0
2517.96,1386.53,0
2577.91,1383.16,0
2637.86,1379.78,0
2697.81,1376.39,0
2757.76,1372.99,0
2817.72,1369.58,0
2877.67,1366.16,1
2937.62,1361.54,0
2997.57,1356.9,0
3057.52,1352.24,0
3117.47,1347.56,0
3177.42,1342.86,0
3237.37,1338.14,0
3297.33,1333.41,0
3357.28,1328.66,0
3417.23,1323.91,0
3477.18,1319.14,0
3537.13,1314.36,0
3597.08,1309.58,0
3657.03,1304.8,0
3716.99,1300.01,0
3776.94,1295.22,0
3836.89,1290.44,0
3896.84,1285.66,0
3956.79,1280.88,0
4016.74,1276.11,0
4076.69,1271.35,0
4136.65,1266.6,0
4196.6,1261.86,0
4256.55,1257.14,0
4316.5,1252.43,0
4376.45,1247.74,0
4436.4,1243.08,0
4496.35,1238.43,0
4556.31,1233.81,0
4616.26,1229.21,0
4676.21,1224.64,0
4736.16,1220.1,0
4796.11,1215.6,0
4856.06,1211.12,0
4916.01,1206.68,0
4975.96,1202.28,0
5035.92,1197.91,0
5095.87,1193.59,0
5155.82,1189.31,0
5215.77,1185.07,0
5275.72,1180.88,0
5335.67,1176.74,0
5395.62,1172.65,0
5455.58,1168.61,0
5515.53,1164.62,0
5575.48,1160.69,0
5635.43,1156.82,0
5695.38,1153,0
5755.33,1149.25,0
5815.28,1145.56,0
5875.24,1141.93,0
5935.19,1138.37,0
5995.14,1134.88,0
6055.09,1131.46,0
6115.04,1128.11,0
6174.99,1124.83,0
6234.94,1121.64,0
6294.9,1118.52,0
6354.85,1115.47,0
6414.8,1112.52,0
6474.75,1109.64,0
6534.7,1106.85,0
6594.65,1104.14,0
6654.6,1101.53,0
6714.55,1099.01,0
6774.51,1096.57,0
6834.46,1094.24,0
6894.41,1092,0
6954.36,1089.85,0
7014.31,1087.81,0
7074.26,1085.87,0
7134.21,1084.04,0
7194.17,1082.3,0
7254.12,1080.68,0
7314.07,1079.17,0
7374.02,1077.77,0
7433.97,1076.48,0
7493.92,1075.3,0
7553.87,1074.24,0
7613.83,1073.31,0
7673.78,1072.49,0
7733.73,1071.79,0
7793.68,1071.22,0
7853.63,1070.77,0
7913.58,1070.46,0
7973.53,1070.27,0
8033.49,1070.21,0
8093.44,1070.29,0
8153.39,1070.5,0
8213.34,1070.85,0
8273.29,1071.34,0
8333.24,1071.97,0
8393.19,1072.75,0
8453.15,1073.67,0
