Dystans (m),Wysokosc (m),Wezel
0,520.283,1
4.85043,497.923,0
9.70085,479.129,0
14.5513,463.542,0
19.4017,450.831,0
24.2521,440.696,0
29.1026,432.86,0
33.953,427.071,0
38.8034,423.101,0
43.6538,420.74,0
48.5043,419.799,0
53.3547,420.106,0
58.2051,421.503,0
63.0555,423.851,0
67.906,427.023,0
72.7564,430.903,0
77.6068,435.389,0
82.4572,440.388,0
87.3077,445.818,0
92.1581,451.605,0
97.0085,457.683,0
101.859,463.995,0
106.709,470.489,0
111.56,477.119,0
116.41,483.845,0
121.261,490.634,0
126.111,497.454,0
130.961,504.279,0
135.812,511.086,0
140.662,517.856,0
145.513,524.572,0
150.363,531.221,0
155.214,537.791,0
160.064,544.272,0
164.914,550.656,0
169.765,556.937,0
174.615,563.11,1
179.466,569.171,0
184.316,575.118,0
189.167,580.948,0
194.017,586.661,0
198.867,592.255,0
203.718,597.731,0
208.568,603.089,0
213.419,608.331,0
218.269,613.456,0
223.12,618.467,0
227.97,623.365,0
232.82,628.15,0
237.671,632.826,0
242.521,637.394,0
247.372,641.855,0
252.222,646.211,0
257.073,650.464,0
261.923,654.615,0
266.773,658.666,0
271.624,662.62,0
276.474,666.476,0
281.325,670.238,0
286.175,673.905,0
291.026,677.481,0
295.876,680.965,0
300.726,684.361,0
305.577,687.667,0
310.427,690.887,0
315.278,694.022,0
320.128,697.071,0
324.979,700.038,0
329.829,702.923,0
334.679,705.727,0
339.53,708.451,0
344.38,711.098,0
349.231,713.668,1
354.081,716.162,0
358.932,718.583,0
363.782,720.93,0
368.632,723.207,0
373.483,725.414,0
378.333,727.553,0
383.184,729.625,0
388.034,731.633,0
392.884,733.578,0
397.735,735.462,0
402.585,737.286,0
407.436,739.053,0
412.286,740.764,0
417.137,742.422,0
421.987,744.029,0
426.837,745.586,0
431.688,747.096,0
436.538,748.561,0
441.389,749.984,0
446.239,751.366,0
451.09,752.709,0
455.94,754.017,0
460.79,755.291,0
465.641,756.534,0
470.491,757.748,0
475.342,758.935,0
480.192,760.097,0
485.043,761.238,0
489.893,762.358,0
494.743,763.461,0
499.594,764.549,0
504.444,765.623,0
509.295,766.686,0
514.145,767.739,0
518.996,768.786,0
523.846,769.827,1
528.696,770.865,0
533.547,771.902,0
538.397,772.939,0
543.248,773.977,0
548.098,775.019,0
552.949,776.065,0
557.799,777.118,0
562.649,778.178,0
567.5,779.246,0
572.35,780.325,0
577.201,781.413,0
582.051,782.513,0
586.902,783.626,0
591.752,784.751,0
596.602,785.889,0
601.453,787.042,0
606.303,788.208,0
611.154,789.388,0
616.004,790.583,0
620.855,791.792,0
625.705,793.016,0
630.555,794.253,0
635.406,795.504,0
640.256,796.768,0
645.107,798.044,0
649.957,799.333,0
654.807,800.633,0
659.658,801.944,0
664.508,803.264,0
669.359,804.593,0
674.209,805.929,0
679.06,807.272,0
683.91,808.621,0
688.76,809.973,0
693.611,811.328,0
698.461,812.685,1
703.312,814.042,0
708.162,815.398,0
713.013,816.751,0
717.863,818.099,0
722.713,819.442,0
727.564,820.778,0
732.414,822.104,0
737.265,823.421,0
742.115,824.725,0
746.966,826.015,0
751.816,827.291,0
756.666,828.55,0
761.517,829.79,0
766.367,831.012,0
771.218,832.211,0
776.068,833.389,0
780.919,834.542,0
785.769,835.67,0
790.619,836.772,0
795.47,837.845,0
800.32,838.89,0
805.171,839.904,0
810.021,840.887,0
814.872,841.837,0
819.722,842.754,0
824.572,843.637,0
829.423,844.485,0
834.273,845.298,0
839.124,846.073,0
843.974,846.812,0
848.825,847.514,0
853.675,848.177,0
858.525,848.803,0
863.376,849.39,0
868.226,849.938,0
873.077,850.447,1
877.927,850.918,0
882.778,851.351,0
887.628,851.745,0
892.478,852.1,0
897.329,852.418,0
902.179,852.699,0
907.03,852.943,0
911.88,853.15,0
916.73,853.322,0
921.581,853.459,0
926.431,853.562,0
931.282,853.631,0
936.132,853.669,0
940.983,853.675,0
945.833,853.65,0
950.683,853.597,0
955.534,853.516,0
960.384,853.408,0
965.235,853.275,0
970.085,853.118,0
974.936,852.938,0
979.786,852.736,0
984.636,852.515,0
989.487,852.275,0
994.337,852.018,0
999.188,851.745,0
1004.04,851.459,0
1008.89,851.16,0
1013.74,850.85,0
1018.59,850.53,0
1023.44,850.202,0
1028.29,849.868,0
1033.14,849.529,0
1037.99,849.186,0
1042.84,848.841,0
1047.69,848.496,1
1052.54,848.151,0
1057.39,847.809,0
1062.24,847.47,0
1067.09,847.135,0
1071.94,846.807,0
1076.79,846.486,0
1081.64,846.173,0
1086.5,845.869,0
1091.35,845.577,0
1096.2,845.295,0
1101.05,845.026,0
1105.9,844.771,0
1110.75,844.529,0
1115.6,844.303,0
1120.45,844.092,0
1125.3,843.897,0
1130.15,843.718,0
1135,843.557,0
1139.85,843.413,0
1144.7,843.288,0
1149.55,843.18,0
1154.4,843.09,0
1159.25,843.019,0
1164.1,842.966,0
1168.95,842.931,0
1173.8,842.915,0
1178.65,842.916,0
1183.5,842.935,0
1188.35,842.972,0
1193.2,843.025,0
1198.06,843.095,0
1202.91,843.181,0
1207.76,843.282,0
1212.61,843.398,0
1217.46,843.528,0
1222.31,843.671,1
1227.16,843.826,0
1232.01,843.993,0
1236.86,844.171,0
1241.71,844.359,0
1246.56,844.555,0
1251.41,844.759,0
1256.26,844.969,0
1261.11,845.185,0
1265.96,845.406,0
1270.81,845.63,0
1275.66,845.857,0
1280.51,846.084,0
1285.36,846.312,0
1290.21,846.539,0
1295.06,846.763,0
1299.91,846.984,0
1304.76,847.201,0
1309.61,847.412,0
1314.47,847.616,0
1319.32,847.813,0
1324.17,848,0
1329.02,848.179,0
1333.87,848.346,0
1338.72,848.502,0
1343.57,848.646,0
1348.42,848.776,0
1353.27,848.892,0
1358.12,848.994,0
1362.97,849.079,0
1367.82,849.149,0
1372.67,849.202,0
1377.52,849.238,0
1382.37,849.257,0
1387.22,849.258,0
1392.07,849.24,0
1396.92,849.204,1
1401.77,849.15,0
1406.62,849.077,0
1411.47,848.985,0
1416.32,848.875,0
1421.17,848.747,0
1426.03,848.601,0
1430.88,848.436,0
1435.73,848.255,0
1440.58,848.056,0
1445.43,847.842,0
1450.28,847.611,0
1455.13,847.365,0
1459.98,847.105,0
1464.83,846.831,0
1469.68,846.545,0
1474.53,846.247,0
1479.38,845.938,0
1484.23,845.619,0
1489.08,845.292,0
1493.93,844.957,0
1498.78,844.615,0
1503.63,844.269,0
1508.48,843.918,0
1513.33,843.565,0
1518.18,843.21,0
1523.03,842.855,0
1527.88,842.502,0
1532.73,842.15,0
1537.58,841.803,0
1542.44,841.46,0
1547.29,841.124,0
1552.14,840.795,0
1556.99,840.475,0
1561.84,840.166,0
1566.69,839.867,0
1571.54,839.581,1
1576.39,839.307,0
1581.24,839.049,0
1586.09,838.805,0
1590.94,838.578,0
1595.79,838.367,0
1600.64,838.174,0
1605.49,838,0
1610.34,837.844,0
1615.19,837.707,0
1620.04,837.589,0
1624.89,837.491,0
1629.74,837.413,0
1634.59,837.355,0
1639.44,837.316,0
1644.29,837.296,0
1649.14,837.294,0
1654,837.311,0
1658.85,837.345,0
1663.7,837.396,0
1668.55,837.462,0
1673.4,837.542,0
1678.25,837.636,0
1683.1,837.741,0
1687.95,837.856,0
1692.8,837.979,0
1697.65,838.108,0
1702.5,838.242,0
1707.35,838.378,0
1712.2,838.513,0
1717.05,838.646,0
1721.9,838.774,0
1726.75,838.893,0
1731.6,839.002,0
1736.45,839.097,0
1741.3,839.174,0
1746.15,839.232,1
1751,839.267,0
1755.85,839.274,0
1760.7,839.252,0
1765.56,839.196,0
1770.41,839.103,0
1775.26,838.969,0
1780.11,838.791,0
1784.96,838.564,0
1789.81,838.286,0
1794.66,837.953,0
1799.51,837.561,0
1804.36,837.107,0
1809.21,836.586,0
1814.06,835.996,0
1818.91,835.333,0
1823.76,834.594,0
1828.61,833.776,0
1833.46,832.875,0
1838.31,831.889,0
1843.16,830.814,0
1848.01,829.649,0
1852.86,828.391,0
1857.71,827.038,0
1862.56,825.588,0
1867.41,824.038,0
1872.26,822.389,0
1877.11,820.637,0
1881.97,818.783,0
1886.82,816.826,0
1891.67,814.766,0
1896.52,812.602,0
1901.37,810.335,0
1906.22,807.965,0
1911.07,805.495,0
1915.92,802.924,0
1920.77,800.255,1
1925.62,797.49,0
1930.47,794.631,0
1935.32,791.682,0
1940.17,788.645,0
1945.02,785.524,0
1949.87,782.324,0
1954.72,779.048,0
1959.57,775.702,0
1964.42,772.29,0
1969.27,768.817,0
1974.12,765.29,0
1978.97,761.715,0
1983.82,758.098,0
1988.67,754.445,0
1993.53,750.764,0
1998.38,747.061,0
2003.23,743.344,0
2008.08,739.62,0
2012.93,735.896,0
2017.78,732.181,0
2022.63,728.481,0
2027.48,724.805,0
2032.33,721.159,0
2037.18,717.552,0
2042.03,713.99,0
2046.88,710.481,0
2051.73,707.031,0
2056.58,703.647,0
2061.43,700.333,0
2066.28,697.097,0
2071.13,693.943,0
2075.98,690.875,0
2080.83,687.896,0
2085.68,685.01,0
2090.53,682.219,0
2095.38,679.522,1
2100.23,676.921,0
2105.08,674.413,0
2109.94,671.997,0
2114.79,669.669,0
2119.64,667.424,0
