Dystans (m),Wysokosc (m),Wezel
0,520.283,1
4.85043,520.427,0
9.70085,520.685,0
14.5513,521.055,0
19.4017,521.537,0
24.2521,522.128,0
29.1026,522.828,0
33.953,523.635,0
38.8034,524.547,0
43.6538,525.563,0
48.5043,526.683,0
53.3547,527.903,0
58.2051,529.224,0
63.0555,530.644,0
67.906,532.161,0
72.7564,533.775,0
77.6068,535.483,0
82.4572,537.285,0
87.3077,539.178,0
92.1581,541.163,0
97.0085,543.237,0
101.859,545.4,0
106.709,547.649,0
111.56,549.984,0
116.41,552.403,0
121.261,554.906,0
126.111,557.49,0
130.961,560.155,0
135.812,562.899,0
140.662,565.722,0
145.513,568.621,0
150.363,571.595,0
155.214,574.644,0
160.064,577.766,0
164.914,580.96,0
169.765,584.225,0
174.615,587.559,0
179.466,590.961,0
184.316,594.43,0
189.167,597.966,0
194.017,601.565,0
198.867,605.228,0
203.718,608.954,0
208.568,612.74,0
213.419,616.587,0
218.269,620.492,0
223.12,624.455,0
227.97,628.475,0
232.82,632.549,0
237.671,636.678,0
242.521,640.86,0
247.372,645.094,0
252.222,649.378,0
257.073,653.713,0
261.923,658.096,1
266.773,662.526,0
271.624,667.003,0
276.474,671.525,0
281.325,676.091,0
286.175,680.7,0
291.026,685.351,0
295.876,690.044,0
300.726,694.776,0
305.577,699.547,0
310.427,704.356,0
315.278,709.201,0
320.128,714.082,0
324.979,718.998,0
329.829,723.948,0
334.679,728.93,0
339.53,733.944,0
344.38,738.988,0
349.231,744.062,0
354.081,749.164,0
358.932,754.294,0
363.782,759.451,0
368.632,764.633,0
373.483,769.839,0
378.333,775.07,0
383.184,780.323,0
388.034,785.598,0
392.884,790.893,0
397.735,796.208,0
402.585,801.543,0
407.436,806.895,0
412.286,812.264,0
417.137,817.649,0
421.987,823.049,0
426.837,828.464,0
431.688,833.892,0
436.538,839.332,0
441.389,844.784,0
446.239,850.246,0
451.09,855.718,0
455.94,861.199,0
460.79,866.688,0
465.641,872.184,0
470.491,877.686,0
475.342,883.194,0
480.192,888.706,0
485.043,894.222,0
489.893,899.741,0
494.743,905.262,0
499.594,910.784,0
504.444,916.306,0
509.295,921.828,0
514.145,927.348,0
518.996,932.867,0
523.846,938.382,0
528.696,943.894,0
533.547,949.402,0
538.397,954.904,0
543.248,960.4,0
548.098,965.889,0
552.949,971.371,0
557.799,976.845,0
562.649,982.309,0
567.5,987.764,0
572.35,993.208,0
577.201,998.64,0
582.051,1004.06,0
586.902,1009.47,0
591.752,1014.86,0
596.602,1020.24,0
601.453,1025.61,0
606.303,1030.96,0
611.154,1036.29,0
616.004,1041.61,0
620.855,1046.91,0
625.705,1052.19,0
630.555,1057.45,0
635.406,1062.69,0
640.256,1067.91,0
645.107,1073.11,0
649.957,1078.29,0
654.807,1083.44,0
659.658,1088.58,0
664.508,1093.69,0
669.359,1098.77,0
674.209,1103.83,0
679.06,1108.87,0
683.91,1113.88,0
688.76,1118.86,0
693.611,1123.81,0
698.461,1128.74,0
703.312,1133.64,0
708.162,1138.51,0
713.013,1143.35,0
717.863,1148.15,0
722.713,1152.93,0
727.564,1157.68,0
732.414,1162.4,0
737.265,1167.08,0
742.115,1171.73,0
746.966,1176.34,0
751.816,1180.93,0
756.666,1185.47,0
761.517,1189.99,0
766.367,1194.46,0
771.218,1198.9,0
776.068,1203.31,0
780.919,1207.68,0
785.769,1212.01,0
790.619,1216.3,0
795.47,1220.55,0
800.32,1224.76,0
805.171,1228.94,0
810.021,1233.07,0
814.872,1237.16,0
819.722,1241.22,0
824.572,1245.23,0
829.423,1249.2,0
834.273,1253.13,0
839.124,1257.01,0
843.974,1260.85,0
848.825,1264.65,0
853.675,1268.4,0
858.525,1272.11,0
863.376,1275.78,0
868.226,1279.4,0
873.077,1282.97,0
877.927,1286.5,0
882.778,1289.99,0
887.628,1293.42,0
892.478,1296.81,0
897.329,1300.15,0
902.179,1303.45,0
907.03,1306.69,0
911.88,1309.89,0
916.73,1313.04,0
921.581,1316.14,0
926.431,1319.19,0
931.282,1322.19,0
936.132,1325.14,0
940.983,1328.04,0
945.833,1330.89,0
950.683,1333.69,0
955.534,1336.43,0
960.384,1339.13,0
965.235,1341.77,0
970.085,1344.37,0
974.936,1346.91,0
979.786,1349.39,0
984.636,1351.83,0
989.487,1354.21,0
994.337,1356.54,0
999.188,1358.81,0
1004.04,1361.03,0
1008.89,1363.2,0
1013.74,1365.31,0
1018.59,1367.37,0
1023.44,1369.37,0
1028.29,1371.32,0
1033.14,1373.21,0
1037.99,1375.05,0
1042.84,1376.83,0
1047.69,1378.56,0
1052.54,1380.23,0
1057.39,1381.85,0
1062.24,1383.4,0
1067.09,1384.91,0
1071.94,1386.35,0
1076.79,1387.74,0
1081.64,1389.07,0
1086.5,1390.35,0
1091.35,1391.57,0
1096.2,1392.73,0
1101.05,1393.83,0
1105.9,1394.88,0
1110.75,1395.87,0
1115.6,1396.8,0
1120.45,1397.68,0
1125.3,1398.49,0
1130.15,1399.25,0
1135,1399.95,0
1139.85,1400.59,0
1144.7,1401.18,0
1149.55,1401.7,0
1154.4,1402.17,0
1159.25,1402.58,0
1164.1,1402.93,0
1168.95,1403.23,0
1173.8,1403.46,0
1178.65,1403.64,0
1183.5,1403.75,0
1188.35,1403.81,0
1193.2,1403.81,0
1198.06,1403.76,0
1202.91,1403.64,0
1207.76,1403.47,0
1212.61,1403.23,0
1217.46,1402.94,0
1222.31,1402.59,0
1227.16,1402.18,0
1232.01,1401.72,0
1236.86,1401.19,0
1241.71,1400.61,0
1246.56,1399.97,0
1251.41,1399.27,0
1256.26,1398.51,0
1261.11,1397.7,0
1265.96,1396.83,0
1270.81,1395.89,0
1275.66,1394.91,0
1280.51,1393.86,0
