Dystans (m),Wysokosc (m),Wezel
0,520.283,1
4.85043,522.951,0
9.70085,525.62,0
14.5513,528.288,0
19.4017,530.956,0
24.2521,533.622,0
29.1026,536.288,0
33.953,538.952,0
38.8034,541.615,0
43.6538,544.276,0
48.5043,546.935,0
53.3547,549.592,0
58.2051,552.247,0
63.0555,554.899,0
67.906,557.549,0
72.7564,560.195,0
77.6068,562.838,0
82.4572,565.478,0
87.3077,568.114,0
92.1581,570.746,0
97.0085,573.374,0
101.859,575.998,0
106.709,578.617,0
111.56,581.232,0
116.41,583.841,0
121.261,586.446,0
126.111,589.045,0
130.961,591.639,0
135.812,594.226,0
140.662,596.808,0
145.513,599.384,0
150.363,601.953,0
155.214,604.515,0
160.064,607.071,0
164.914,609.62,0
169.765,612.161,0
174.615,614.695,0
179.466,617.221,0
184.316,619.739,0
189.167,622.249,0
194.017,624.751,0
198.867,627.244,0
203.718,629.728,0
208.568,632.203,0
213.419,634.669,0
218.269,637.126,0
223.12,639.573,0
227.97,642.01,0
232.82,644.437,0
237.671,646.854,0
242.521,649.26,0
247.372,651.656,0
252.222,654.04,0
257.073,656.414,0
261.923,658.776,0
266.773,661.126,0
271.624,663.465,1
276.474,665.792,0
281.325,668.107,0
286.175,670.41,0
291.026,672.701,0
295.876,674.98,0
300.726,677.247,0
305.577,679.503,0
310.427,681.747,0
315.278,683.979,0
320.128,686.199,0
324.979,688.408,0
329.829,690.605,0
334.679,692.791,0
339.53,694.966,0
344.38,697.128,0
349.231,699.28,0
354.081,701.42,0
358.932,703.549,0
363.782,705.666,0
368.632,707.772,0
373.483,709.867,0
378.333,711.951,0
383.184,714.024,0
388.034,716.085,0
392.884,718.136,0
397.735,720.175,0
402.585,722.203,0
407.436,724.221,0
412.286,726.228,0
417.137,728.223,0
421.987,730.208,0
426.837,732.182,0
431.688,734.146,0
436.538,736.098,0
441.389,738.04,0
446.239,739.971,0
451.09,741.892,0
455.94,743.802,0
460.79,745.702,0
465.641,747.591,0
470.491,749.47,0
475.342,751.338,0
480.192,753.196,0
485.043,755.044,0
489.893,756.881,0
494.743,758.709,0
499.594,760.525,0
504.444,762.332,0
509.295,764.129,0
514.145,765.915,0
518.996,767.692,0
523.846,769.458,0
528.696,771.215,0
533.547,772.962,0
538.397,774.698,0
543.248,776.425,1
548.098,778.142,0
552.949,779.849,0
557.799,781.545,0
562.649,783.23,0
567.5,784.903,0
572.35,786.564,0
577.201,788.212,0
582.051,789.848,0
586.902,791.47,0
591.752,793.078,0
596.602,794.672,0
601.453,796.251,0
606.303,797.815,0
611.154,799.363,0
616.004,800.894,0
620.855,802.41,0
625.705,803.908,0
630.555,805.388,0
635.406,806.851,0
640.256,808.295,0
645.107,809.72,0
649.957,811.125,0
654.807,812.511,0
659.658,813.877,0
664.508,815.222,0
669.359,816.546,0
674.209,817.848,0
679.06,819.128,0
683.91,820.385,0
688.76,821.619,0
693.611,822.83,0
698.461,824.017,0
703.312,825.18,0
708.162,826.318,0
713.013,827.43,0
717.863,828.517,0
722.713,829.577,0
727.564,830.611,0
732.414,831.618,0
737.265,832.597,0
742.115,833.548,0
746.966,834.471,0
751.816,835.365,0
756.666,836.229,0
761.517,837.064,0
766.367,837.868,0
771.218,838.642,0
776.068,839.384,0
780.919,840.094,0
785.769,840.773,0
790.619,841.419,0
795.47,842.032,0
800.32,842.611,0
805.171,843.157,0
810.021,843.668,0
814.872,844.144,1
819.722,844.585,0
824.572,844.992,0
829.423,845.365,0
834.273,845.707,0
839.124,846.016,0
843.974,846.296,0
848.825,846.546,0
853.675,846.767,0
858.525,846.961,0
863.376,847.129,0
868.226,847.271,0
873.077,847.389,0
877.927,847.483,0
882.778,847.555,0
887.628,847.605,0
892.478,847.634,0
897.329,847.644,0
902.179,847.635,0
907.03,847.609,0
911.88,847.566,0
916.73,847.508,0
921.581,847.434,0
926.431,847.347,0
931.282,847.248,0
936.132,847.136,0
940.983,847.014,0
945.833,846.882,0
950.683,846.742,0
955.534,846.593,0
960.384,846.438,0
965.235,846.277,0
970.085,846.111,0
974.936,845.942,0
979.786,845.769,0
984.636,845.594,0
989.487,845.419,0
994.337,845.244,0
999.188,845.069,0
1004.04,844.897,0
1008.89,844.728,0
1013.74,844.563,0
1018.59,844.402,0
1023.44,844.248,0
1028.29,844.101,0
1033.14,843.961,0
1037.99,843.831,0
1042.84,843.71,0
1047.69,843.601,0
1052.54,843.503,0
1057.39,843.418,0
1062.24,843.347,0
1067.09,843.29,0
1071.94,843.25,0
1076.79,843.226,0
1081.64,843.22,0
1086.5,843.233,1
1091.35,843.265,0
1096.2,843.316,0
1101.05,843.385,0
1105.9,843.472,0
1110.75,843.576,0
1115.6,843.695,0
1120.45,843.83,0
1125.3,843.979,0
1130.15,844.143,0
1135,844.319,0
1139.85,844.507,0
1144.7,844.707,0
1149.55,844.917,0
1154.4,845.138,0
1159.25,845.368,0
1164.1,845.606,0
1168.95,845.853,0
1173.8,846.106,0
1178.65,846.365,0
1183.5,846.63,0
1188.35,846.9,0
1193.2,847.174,0
1198.06,847.451,0
1202.91,847.731,0
1207.76,848.013,0
1212.61,848.295,0
1217.46,848.578,0
1222.31,848.861,0
1227.16,849.142,0
1232.01,849.421,0
1236.86,849.698,0
1241.71,849.971,0
1246.56,850.24,0
1251.41,850.505,0
1256.26,850.763,0
1261.11,851.015,0
1265.96,851.26,0
1270.81,851.497,0
1275.66,851.725,0
1280.51,851.944,0
1285.36,852.153,0
1290.21,852.351,0
1295.06,852.537,0
1299.91,852.711,0
1304.76,852.872,0
