Dystans (m),Wysokosc (m),Wezel
0,520.283,1
4.85043,520.354,0
9.70085,520.426,0
14.5513,520.499,0
19.4017,520.571,0
24.2521,520.644,0
29.1026,520.718,0
33.953,520.793,0
38.8034,520.869,0
43.6538,520.946,1
48.5043,522.053,0
53.3547,523.178,0
58.2051,524.32,0
63.0555,525.479,0
67.906,526.656,0
72.7564,527.851,0
77.6068,529.064,0
82.4572,530.294,0
87.3077,531.543,0
92.1581,532.809,0
97.0085,534.094,0
101.859,535.397,0
106.709,536.718,0
111.56,538.057,0
116.41,539.416,0
121.261,540.792,0
126.111,542.188,0
130.961,543.602,0
135.812,545.035,0
140.662,546.486,0
145.513,547.957,0
150.363,549.447,0
155.214,550.957,0
160.064,552.485,0
164.914,554.033,0
169.765,555.6,0
174.615,557.187,0
179.466,558.794,0
184.316,560.42,0
189.167,562.066,0
194.017,563.732,0
198.867,565.418,0
203.718,567.124,0
208.568,568.85,0
213.419,570.597,0
218.269,572.364,0
223.12,574.151,0
227.97,575.959,0
232.82,577.787,0
237.671,579.636,0
242.521,581.506,0
247.372,583.397,0
252.222,585.309,0
257.073,587.242,0
261.923,589.196,0
266.773,591.171,0
271.624,593.167,0
276.474,595.185,0
281.325,597.225,0
286.175,599.286,0
291.026,601.368,0
295.876,603.473,0
300.726,605.599,0
305.577,607.747,0
310.427,609.918,0
315.278,612.11,0
320.128,614.325,0
324.979,616.562,0
329.829,618.821,0
334.679,621.102,0
339.53,623.407,0
344.38,625.734,0
349.231,628.083,0
354.081,630.456,0
358.932,632.851,0
363.782,635.27,0
368.632,637.711,0
373.483,640.176,0
378.333,642.664,0
383.184,645.175,0
388.034,647.71,0
392.884,650.268,0
397.735,652.85,0
402.585,655.455,0
407.436,658.084,0
412.286,660.738,0
417.137,663.415,0
421.987,666.116,0
426.837,668.841,0
431.688,671.591,0
436.538,674.365,0
441.389,677.163,0
446.239,679.986,0
451.09,682.834,0
455.94,685.706,0
460.79,688.603,0
465.641,691.525,0
470.491,694.471,0
475.342,697.443,0
480.192,700.44,0
485.043,703.462,0
489.893,706.509,0
494.743,709.582,0
499.594,712.68,0
504.444,715.804,0
509.295,718.953,0
514.145,722.128,0
518.996,725.329,0
523.846,728.556,0
528.696,731.809,0
533.547,735.088,0
538.397,738.393,0
543.248,741.724,0
548.098,745.082,0
552.949,748.466,0
557.799,751.877,0
562.649,755.314,0
567.5,758.779,0
572.35,762.269,0
577.201,765.787,0
582.051,769.332,0
586.902,772.904,0
591.752,776.502,0
596.602,780.129,0
601.453,783.782,0
606.303,787.463,0
611.154,791.171,0
616.004,794.907,0
620.855,798.671,1
625.705,800.819,0
630.555,802.984,0
635.406,805.165,0
640.256,807.356,0
645.107,809.554,0
649.957,811.756,0
654.807,813.957,0
659.658,816.154,0
664.508,818.343,0
669.359,820.521,0
674.209,822.683,0
679.06,824.826,0
683.91,826.947,0
688.76,829.041,0
693.611,831.105,0
698.461,833.136,0
703.312,835.129,0
708.162,837.08,0
713.013,838.986,0
717.863,840.844,0
722.713,842.649,0
727.564,844.398,0
732.414,846.087,0
737.265,847.713,0
742.115,849.271,0
746.966,850.758,0
751.816,852.171,0
756.666,853.505,0
761.517,854.756,0
766.367,855.922,0
771.218,856.998,0
776.068,857.981,0
780.919,858.866,0
785.769,859.651,0
790.619,860.331,0
795.47,860.903,0
800.32,861.363,0
805.171,861.708,0
810.021,861.933,0
814.872,862.034,0
819.722,862.009,0
824.572,861.854,0
829.423,861.564,0
834.273,861.136,0
839.124,860.566,0
843.974,859.851,0
848.825,858.987,0
853.675,857.97,0
858.525,856.796,0
863.376,855.462,0
868.226,853.964,0
873.077,852.298,0
877.927,850.46,1
882.778,851.627,0
887.628,852.708,0
892.478,853.705,0
897.329,854.618,0
902.179,855.448,0
907.03,856.195,0
911.88,856.861,0
916.73,857.446,0
921.581,857.95,0
926.431,858.375,0
931.282,858.722,0
936.132,858.99,0
940.983,859.181,0
945.833,859.295,0
950.683,859.333,0
955.534,859.296,0
960.384,859.184,0
965.235,858.998,0
970.085,858.74,0
974.936,858.409,0
979.786,858.006,0
984.636,857.532,0
989.487,856.988,0
994.337,856.374,0
999.188,855.692,0
1004.04,854.941,0
1008.89,854.123,0
1013.74,853.238,0
1018.59,852.287,1
1023.44,849.987,0
1028.29,847.735,0
1033.14,845.531,0
1037.99,843.374,0
1042.84,841.264,0
1047.69,839.2,0
1052.54,837.182,0
1057.39,835.209,0
1062.24,833.282,0
1067.09,831.4,0
1071.94,829.561,0
1076.79,827.767,0
